time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
27-5-2021 19:25:40,1622157940.4788873,600.0,45.2,16517.64,5500.06,11116.53,39.7,536493486,976849226,0.0,0.0,0,0,23.53,3.96,0.0,0.09,12.6997049159743,13491,290,6070272,602112,43278406,538488
27-5-2021 19:25:46,1622157946.866786,600.0,40.5,16526.9,5501.63,11130.77,39.1,536637192,976991784,0.00022496599761376093,0.00022316884951096357,0,0,24.7,4.2,0.0,0.09,12.6997049159743,14512,290,6070272,602112,43353887,538488
27-5-2021 19:25:51,1622157951.8679235,600.0,39.1,16534.34,5502.75,11141.86,39.0,536777334,977159802,0.0002802202501710145,0.00033595956953114353,0,0,26.98,4.38,0.0,0.09,12.699914195425151,15564,293,6070272,602112,43523330,541617
27-5-2021 19:25:56,1622157956.8758388,600.0,60.0,16544.38,5503.88,11150.52,39.0,536895918,977554780,0.00023679314421487857,0.0007887074353682142,0,0,31.88,4.79,0.0,0.09,12.699914195425151,16585,293,6070272,602112,43598833,541617
27-5-2021 19:26:1,1622157961.880605,600.0,56.2,16555.0,5505.02,11158.45,39.3,537083969,978128267,0.000375743824017242,0.0011458816938180391,0,0,37.46,5.11,0.0,0.09,12.732352510307013,17612,296,6070272,602112,43677460,544746
27-5-2021 19:26:6,1622157966.8827326,600.0,53.3,16564.31,5506.19,11167.36,39.1,537197986,978311737,0.00022793700608433263,0.00036678392262813885,0,0,39.33,5.29,0.0,0.09,12.732352510307013,18633,296,6070272,602112,43752999,544746
27-5-2021 19:26:11,1622157971.891406,600.0,55.0,16574.45,5507.43,11175.89,38.9,537347881,978682626,0.000299270859061156,0.0007404934764090402,0,0,44.7,5.67,0.0,0.09,12.746164954063161,19660,299,6070272,602112,43831595,547869
27-5-2021 19:26:16,1622157976.8941348,600.0,71.8,16584.72,5508.58,11183.53,38.9,537494711,978945497,0.00029349982536786386,0.0005254552379913897,0,0,48.6,5.9,0.0,0.09,12.746164954063161,20687,302,6070272,602112,43910255,550998
27-5-2021 19:26:21,1622157981.8975308,600.0,59.1,16595.35,5510.02,11191.22,39.2,537731670,979254085,0.00047359633012932005,0.0006167570943578704,0,0,52.01,6.21,0.0,0.09,12.759977397819307,21708,302,6070272,602112,43985785,550998
27-5-2021 19:26:26,1622157986.9040072,600.0,63.9,16606.43,5511.65,11197.99,39.5,538180142,979556156,0.0008957837088686129,0.0006033604789633484,0,0,56.26,6.44,0.0,0.09,12.775254797731412,22729,305,6070272,602112,44064087,554127
