time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
11-6-2021 21:59:8,1623463148.0384467,600.0,63.8,26897.59,9187.34,10003.74,40.1,763539741,467690341,0.0,0.0,56.965,0,0,12904,225,0,434176,40766072,415024,34.94,3.69,0.0,0.09,12.67668417638072
11-6-2021 21:59:16,1623463156.048943,600.0,72.5,26914.4,9189.65,10015.69,40.2,763873798,468159806,0.000417024094686253,0.0005860623085637534,58.426,0,0,13952,228,0,434176,40845533,418153,39.99,3.97,0.0,0.09,12.670196513404349
11-6-2021 21:59:21,1623463161.059195,600.0,57.4,26925.84,9191.05,10022.45,40.2,764331314,468496802,0.0009131596576386232,0.0006726128747094865,57.939,0,0,15000,231,0,434176,40924953,421282,45.41,4.36,0.0,0.09,12.710378167967686
11-6-2021 21:59:26,1623463166.0595784,600.0,64.5,26937.17,9192.76,10028.93,40.3,764649806,468770190,0.0006369351627320446,0.0005467340789375815,57.939,0,0,16042,231,0,434176,41001230,421282,49.57,4.68,0.0,0.09,12.710378167967686
11-6-2021 21:59:31,1623463171.0617568,600.0,59.2,26948.3,9194.35,10036.16,40.2,764845910,469158652,0.00039203719483903675,0.0007765856524168905,57.939,0,0,17090,234,0,434176,41080662,424411,54.41,5.0,0.0,0.09,12.724190611723834
11-6-2021 21:59:36,1623463176.0641172,600.0,65.4,26958.59,9195.72,10043.7,40.1,764964186,469377667,0.00023644038387487596,0.00043782331727785823,57.452,0,0,18138,237,0,434176,41160063,427540,57.75,5.25,0.0,0.09,12.724190611723834
11-6-2021 21:59:41,1623463181.0720186,600.0,56.9,26969.18,9197.24,10051.28,40.0,765098531,469707241,0.0002682660628895653,0.0006581080011222271,58.426,0,0,19180,237,0,434176,41236383,427540,61.64,5.48,0.0,0.09,12.719586463805118
11-6-2021 21:59:46,1623463186.0805044,600.0,59.4,26979.51,9198.7,10058.93,40.1,765258714,470107649,0.000319823209221715,0.0007994591907883388,57.939,0,0,20228,240,0,434176,41315817,430669,68.31,5.91,0.0,0.09,12.740095849988489
11-6-2021 21:59:51,1623463191.0832825,600.0,57.9,26989.29,9200.16,10067.04,40.0,765368562,470325770,0.0002195740023443548,0.00043599975389040324,58.426,0,0,21270,240,0,434176,41392163,430669,71.05,6.2,0.0,0.09,12.705983299499824
11-6-2021 21:59:56,1623463196.0909739,600.0,56.7,26999.82,9201.7,10074.61,40.1,765519050,470703610,0.0003005137267444241,0.0007545193404996625,57.452,0,0,22318,243,0,434176,41471615,433798,75.75,6.52,0.0,0.09,12.747211351317414
11-6-2021 22:0:1,1623463201.0925968,600.0,64.4,27010.57,9203.13,10081.86,40.1,765663289,470956133,0.00028838439531236215,0.0005048821238185485,57.452,0,0,23355,246,0,434176,41550376,436927,78.6,6.71,0.0,0.09,12.747211351317414
11-6-2021 22:0:6,1623463206.101605,600.0,57.4,27020.29,9204.46,10090.58,40.2,765781030,471256892,0.00023505851063407483,0.0006004362337655847,57.939,0,0,24386,246,0,434176,41626036,436927,82.97,7.02,0.0,0.09,12.761023795073562
11-6-2021 22:0:11,1623463211.1046195,600.0,62.8,27030.75,9206.0,10098.03,40.1,765931416,471559352,0.0003005907699463271,0.0006045555056851443,58.426,0,0,25423,249,0,434176,41704819,440056,86.74,7.35,0.0,0.09,12.761023795073562
11-6-2021 22:0:16,1623463216.107649,600.0,53.3,27040.58,9207.42,10106.24,40.2,766056909,471880980,0.00025083401541167087,0.0006428664762881187,59.4,0,0,26448,249,0,434176,41780084,440056,92.03,7.76,0.0,0.09,12.774836238829709
11-6-2021 22:0:21,1623463221.1095278,600.0,96.8,27053.06,9210.64,10110.33,40.3,766178346,472061181,0.00024278277493541283,0.00036026663064911294,58.913,0,0,27481,249,0,434176,41855731,440056,97.6,10.41,0.0,0.09,13.140865998367621
11-6-2021 22:0:26,1623463226.1149023,600.0,97.8,27065.58,9215.69,10112.57,40.8,766369107,472287193,0.0003811123475504645,0.00045153864728417014,59.4,0,0,28522,251,0,434176,41934029,442386,103.75,13.95,0.0,0.09,13.130611305275936
11-6-2021 22:0:31,1623463231.1184158,600.0,98.5,27078.46,9220.71,10114.71,40.7,766505166,472445512,0.0002719269129011429,0.0003164156500018083,59.4,0,0,29563,253,0,434176,42012357,444716,110.86,18.1,0.0,0.09,13.165560973568006
11-6-2021 22:0:36,1623463236.139576,600.0,92.5,27091.03,9225.78,10116.92,40.5,766627492,472602237,0.00024362098984476554,0.0003121290619608332,59.887,0,0,30604,255,0,434176,42090651,447046,117.42,22.07,0.0,0.09,13.139819601113366
