time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
11-6-2021 19:37:18,1623454638.973116,600.0,90.8,6549.62,2243.85,3644.22,46.2,84562372,115145654,0.0,0.0,62.809,0,0,12943,261,1146880,471040,40787574,466120,12.773999121026305,98.02,7.36,0.02,0.17
11-6-2021 19:37:26,1623454646.7092094,600.0,98.2,6574.56,2248.58,3645.09,45.8,84937773,115874912,0.0004852591284932399,0.0009426695760712496,63.296,0,0,13981,264,1146880,471040,40866348,469246,12.781114622355231,103.86,7.74,0.02,0.17
11-6-2021 19:37:31,1623454651.712023,600.0,99.5,6590.34,2252.18,3645.5,46.3,85226693,116727169,0.0005775150233273369,0.001703555382929137,63.783,0,0,15029,264,1146880,471040,40944180,469246,12.793252830504573,106.98,8.1,0.02,0.17
11-6-2021 19:37:36,1623454656.7349122,600.0,99.5,6606.01,2256.2,3645.7,47.1,85933778,117245884,0.0014077256747589322,0.0010327024662983653,63.783,0,0,16073,264,1146880,471040,41021677,469246,13.098172990394072,111.53,9.7,0.02,0.17
11-6-2021 19:37:41,1623454661.7375026,600.0,99.3,6621.13,2260.9,3645.83,47.2,86703651,117495650,0.0015389486959618748,0.0004992733346871674,64.27,0,0,17112,265,1146880,471040,41100022,470410,13.092731724671955,117.04,11.57,0.02,0.17
11-6-2021 19:37:46,1623454666.7495425,600.0,99.5,6637.04,2264.79,3645.98,46.6,87433456,117639731,0.0014561037313875513,0.0002874697785326899,65.244,0,0,18159,267,1146880,471040,41179864,472738,13.14672582299144,122.47,13.97,0.02,0.17
11-6-2021 19:37:51,1623454671.7556782,600.0,89.4,6651.87,2269.3,3646.54,46.4,88026260,117787833,0.0011841548756806545,0.00029584096159617054,63.296,0,0,19204,268,1146880,471040,41258622,473902,13.1345876148421,127.82,16.49,0.02,0.17
11-6-2021 19:37:56,1623454676.758358,600.0,91.3,6667.08,2272.99,3647.48,47.2,88242442,117940849,0.0004321323921771969,0.0003058680654327648,64.27,0,0,20251,270,1146880,471040,41338543,476230,13.07996567817006,133.82,19.03,0.02,0.17
11-6-2021 19:38:1,1623454681.7588878,600.0,85.7,6681.56,2276.82,3649.06,46.7,88364779,118095168,0.00024464807874913306,0.0003086053022755787,62.809,0,0,21296,271,1146880,471040,41417303,477394,13.028482933260783,140.92,21.87,0.02,0.17
11-6-2021 19:38:6,1623454686.7654703,600.0,94.7,6696.32,2280.9,3650.06,47.9,88519964,118632129,0.0003099619352021696,0.0010725100408421702,63.783,0,0,22341,272,1146880,471040,41496057,478558,13.014042651152083,147.55,24.79,0.02,0.17
11-6-2021 19:38:11,1623454691.7759318,600.0,99.8,6711.6,2285.31,3650.26,46.8,88749704,119766365,0.0004585206309716033,0.0022637355549347407,64.27,0,0,23383,274,1146880,471040,41575651,480886,13.20741686373815,152.96,26.93,0.02,0.17
