time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
11-6-2021 18:55:28,1623452128.3706584,600.0,69.1,287.86,93.48,2109.48,36.5,11852160,22104157,0.0,0.0,57.452,0,0,44.33,5.1,0.01,0.1,12882,244,170332160,479232,40767386,453228,12.635037565661428
11-6-2021 18:55:36,1623452136.3791063,600.0,59.3,305.54,96.04,2120.26,36.5,12104127,22629307,0.00031462650890916056,0.0006557450426192544,57.939,0,0,51.41,5.59,0.01,0.1,13900,247,170463232,479232,40842945,456354,12.601552853525314
11-6-2021 18:55:41,1623452141.382792,600.0,56.6,316.49,97.62,2127.6,36.5,12257433,23009337,0.00030638614972836254,0.0007595001401202146,57.452,0,0,57.33,5.92,0.01,0.1,14918,250,170725376,479232,40918484,459480,12.609714752108491
11-6-2021 18:55:46,1623452146.384328,600.0,62.9,326.99,99.12,2134.63,36.5,12405434,23303861,0.00029591110247220395,0.0005888671126852075,56.965,0,0,61.06,6.3,0.01,0.1,15931,253,170725376,479232,40993780,462600,12.650942803926082
11-6-2021 18:55:51,1623452151.3890903,600.0,58.6,337.92,100.47,2142.24,36.5,12530449,23644104,0.0002497920774866202,0.0006798384659463273,56.965,0,0,65.39,6.6,0.01,0.1,16932,253,170725376,479232,41065596,462600,12.620178724651026
11-6-2021 18:55:56,1623452156.389967,600.0,56.1,348.82,101.92,2149.37,36.4,12677141,24023958,0.000293332569113892,0.0007595748214503063,57.939,0,0,70.76,6.98,0.01,0.1,17939,256,170725376,479232,41140540,465726,12.684008957160497
11-6-2021 18:56:1,1623452161.399705,600.0,60.4,359.29,103.68,2156.72,36.4,12823783,24316821,0.000292713912231865,0.0005845874611500162,57.452,0,0,73.97,7.32,0.01,0.1,18946,259,170725376,479232,41215436,468852,12.649687127220979
11-6-2021 18:56:6,1623452166.4076848,600.0,64.0,369.94,105.2,2163.98,36.4,12949643,24651488,0.00025131890157529234,0.0006682674625258094,58.426,0,0,79.27,7.59,0.01,0.1,19941,259,170725376,479232,41286956,468852,12.660988217566919
11-6-2021 18:56:11,1623452171.414673,600.0,60.9,380.88,106.52,2171.3,36.6,13101064,25037630,0.00030241932139923416,0.0007712061180664707,56.478,0,0,84.08,7.99,0.01,0.1,20942,262,170725376,479232,41361559,471978,12.70807609400833
11-6-2021 18:56:16,1623452176.417424,600.0,67.2,391.46,108.13,2178.55,36.5,13244067,25295543,0.0002858487332551814,0.000515542361629082,58.426,0,0,89.37,8.46,0.01,0.1,21949,265,170725376,479232,41436479,475104,12.692589414645376
11-6-2021 18:56:21,1623452181.423746,600.0,63.5,402.17,109.66,2186.15,36.4,13373508,25671139,0.0002585550754406233,0.0007502433704560098,57.939,0,0,93.28,8.74,0.01,0.1,22950,265,170725376,479232,41508303,475104,12.684008957160497
11-6-2021 18:56:26,1623452186.4278018,600.0,95.0,413.83,113.05,2190.28,36.9,13564860,25917675,0.00038239382213457436,0.0004926723699452811,57.939,0,0,97.86,11.46,0.01,0.1,23957,265,172503040,479232,41580436,475104,13.09712659313982
11-6-2021 18:56:31,1623452191.4295256,600.0,93.9,427.25,118.38,2191.31,37.0,13685760,26080922,0.00024171666738962046,0.0003263814789193827,58.426,0,0,106.01,15.0,0.01,0.1,24967,267,172564480,479232,41654894,477432,12.92028545717096
11-6-2021 18:56:36,1623452196.433029,600.0,43.9,436.99,120.93,2198.66,36.8,13795972,26202879,0.00022026966486094157,0.00024374321777524997,58.426,0,0,108.47,16.39,0.01,0.1,25973,267,172564480,479232,41727064,477432,13.11721742042149
11-6-2021 18:56:41,1623452201.4366713,600.0,95.0,446.61,123.83,2205.99,36.4,13912778,26339668,0.000233441945916759,0.00027337885331239444,58.426,0,0,111.46,17.95,0.01,0.1,26980,267,172564480,479232,41799245,477432,13.126844275160622
11-6-2021 18:56:46,1623452206.439512,600.0,38.1,453.54,124.8,2217.69,36.3,14026618,26463171,0.00022755071672488322,0.00024686574286431176,56.965,0,0,112.39,18.16,0.01,0.1,27987,267,172564480,479232,41871414,477432,13.126844275160622
