time_stamp,time,model_number,QOS
27-5-2021 14:58:42,1622141922.3182068,None,0.0
27-5-2021 14:58:47,1622141927.3286533,1,0.0
27-5-2021 14:58:52,1622141932.333709,1,0.0
27-5-2021 14:58:57,1622141937.3387258,1,0.0
27-5-2021 14:59:2,1622141942.3437827,1,0.0
27-5-2021 14:59:7,1622141947.3488555,1,0.0
27-5-2021 14:59:12,1622141952.3539147,1,0.0
27-5-2021 14:59:17,1622141957.3589895,1,0.0
27-5-2021 14:59:22,1622141962.3640532,1,1.8062560558319092
27-5-2021 14:59:27,1622141967.36913,1,2.1334633827209473
27-5-2021 14:59:32,1622141972.3741472,1,3.698662042617798
27-5-2021 14:59:37,1622141977.3791718,1,2.020901918411255
27-5-2021 14:59:42,1622141982.384248,1,2.3683934211730957
27-5-2021 14:59:47,1622141987.3888433,1,2.2180380821228027
27-5-2021 14:59:52,1622141992.3960323,1,2.2981998920440674
27-5-2021 14:59:57,1622141997.4010544,1,2.005063056945801
27-5-2021 15:0:2,1622142002.4061205,1,1.7920784950256348
27-5-2021 15:0:7,1622142007.4111323,1,2.091651678085327
27-5-2021 15:0:12,1622142012.4163284,1,1.8902876377105713
27-5-2021 15:0:17,1622142017.4188457,1,2.2816543579101562
27-5-2021 15:0:22,1622142022.4243069,1,1.8413877487182617
27-5-2021 15:0:27,1622142027.428893,1,2.073981761932373
27-5-2021 15:0:32,1622142032.4339445,1,3.456486225128174
27-5-2021 15:0:37,1622142037.4390094,1,1.8751707077026367
27-5-2021 15:0:42,1622142042.4440582,1,1.8507840633392334
27-5-2021 15:0:47,1622142047.4491217,1,2.128479242324829
27-5-2021 15:0:52,1622142052.45418,1,3.4820926189422607
27-5-2021 15:0:57,1622142057.4588423,1,1.7201895713806152
27-5-2021 15:1:2,1622142062.4638934,1,1.908191204071045
27-5-2021 15:1:7,1622142067.46894,1,1.7791266441345215
27-5-2021 15:1:12,1622142072.4740002,1,2.583052635192871
27-5-2021 15:1:17,1622142077.4806223,1,2.053100824356079
27-5-2021 15:1:22,1622142082.485632,1,2.113327741622925
27-5-2021 15:1:27,1622142087.4907005,1,2.1794912815093994
27-5-2021 15:1:32,1622142092.4957604,1,2.843069314956665
27-5-2021 15:1:37,1622142097.5007772,1,1.8298728466033936
27-5-2021 15:1:42,1622142102.5058384,1,2.0138065814971924
27-5-2021 15:1:47,1622142107.5088363,1,2.404606342315674
27-5-2021 15:1:52,1622142112.513898,1,3.5761849880218506
27-5-2021 15:1:57,1622142117.5189257,1,1.885915756225586
27-5-2021 15:2:2,1622142122.5239873,1,2.101950168609619
27-5-2021 15:2:7,1622142127.529021,1,1.8364782333374023
27-5-2021 15:2:12,1622142132.5299535,1,2.335272789001465
27-5-2021 15:2:17,1622142137.5311608,1,2.6379740238189697
27-5-2021 15:2:22,1622142142.5361845,1,1.8780858516693115
27-5-2021 15:2:27,1622142147.541246,1,2.2636666297912598
27-5-2021 15:2:32,1622142152.5464473,1,3.03532338142395
27-5-2021 15:2:37,1622142157.551503,1,1.8539037704467773
27-5-2021 15:2:42,1622142162.5565107,1,2.049138069152832
27-5-2021 15:2:47,1622142167.5615559,1,2.579223155975342
27-5-2021 15:2:52,1622142172.565713,1,2.6810710430145264
27-5-2021 15:2:57,1622142177.5707762,2,2.161123275756836
27-5-2021 15:3:2,1622142182.5758286,2,1.9383201599121094
27-5-2021 15:3:7,1622142187.5808437,2,1.8994472026824951
27-5-2021 15:3:12,1622142192.5859153,2,2.3291964530944824
27-5-2021 15:3:17,1622142197.5910678,2,2.112758159637451
27-5-2021 15:3:22,1622142202.5961308,2,1.9583778381347656
27-5-2021 15:3:27,1622142207.6011744,2,2.246556520462036
27-5-2021 15:3:32,1622142212.6062534,2,2.3721580505371094
27-5-2021 15:3:37,1622142217.6112614,2,2.059884548187256
27-5-2021 15:3:42,1622142222.6163328,2,2.0707433223724365
27-5-2021 15:3:47,1622142227.6213892,2,1.7667579650878906
27-5-2021 15:3:52,1622142232.626408,2,2.4265570640563965
27-5-2021 15:3:57,1622142237.6291044,2,2.0140979290008545
27-5-2021 15:4:2,1622142242.6341586,2,1.7879383563995361
27-5-2021 15:4:7,1622142247.6392207,2,2.1358816623687744
27-5-2021 15:4:12,1622142252.6420941,2,2.6158175468444824
27-5-2021 15:4:17,1622142257.647156,2,1.940248966217041
27-5-2021 15:4:22,1622142262.6522079,2,2.0140392780303955
27-5-2021 15:4:27,1622142267.6572263,2,1.835766315460205
27-5-2021 15:4:32,1622142272.6588783,2,2.1460914611816406
27-5-2021 15:4:37,1622142277.6638987,2,2.0004875659942627
27-5-2021 15:4:42,1622142282.6689672,2,2.2461941242218018
27-5-2021 15:4:47,1622142287.6759956,2,2.3151612281799316
27-5-2021 15:4:52,1622142292.681057,2,3.540269136428833
27-5-2021 15:4:57,1622142297.6860769,2,1.8559110164642334
27-5-2021 15:5:2,1622142302.6892095,2,1.9448888301849365
27-5-2021 15:5:7,1622142307.6942601,2,1.8504009246826172
27-5-2021 15:5:12,1622142312.699326,2,2.139965772628784
27-5-2021 15:5:17,1622142317.7043374,2,1.9637622833251953
27-5-2021 15:5:22,1622142322.7093906,2,2.029144048690796
27-5-2021 15:5:27,1622142327.71441,2,2.1031572818756104
27-5-2021 15:5:32,1622142332.7194505,2,2.2176787853240967
27-5-2021 15:5:37,1622142337.7245057,2,1.6775782108306885
27-5-2021 15:5:42,1622142342.7253368,2,1.973982334136963
27-5-2021 15:5:47,1622142347.7304058,2,1.7378201484680176
27-5-2021 15:5:52,1622142352.7354553,2,3.6319079399108887
27-5-2021 15:5:57,1622142357.738888,2,1.8915154933929443
27-5-2021 15:6:2,1622142362.7439504,2,1.855255126953125
27-5-2021 15:6:7,1622142367.7489624,2,1.8128645420074463
27-5-2021 15:6:12,1622142372.7539885,2,1.995131254196167
27-5-2021 15:6:17,1622142377.759013,2,2.3365941047668457
27-5-2021 15:6:22,1622142382.7640755,2,1.8022387027740479
27-5-2021 15:6:27,1622142387.7691069,3,1.881316900253296
27-5-2021 15:6:32,1622142392.774135,3,3.278391122817993
27-5-2021 15:6:37,1622142397.7792068,3,1.839092493057251
27-5-2021 15:6:42,1622142402.784249,3,1.7623770236968994
27-5-2021 15:6:47,1622142407.789266,3,2.222642183303833
27-5-2021 15:6:52,1622142412.7942896,3,1.6238858699798584
27-5-2021 15:6:57,1622142417.7993443,3,1.8654038906097412
27-5-2021 15:7:2,1622142422.8044136,3,2.01159930229187
27-5-2021 15:7:7,1622142427.809436,3,1.845757007598877
27-5-2021 15:7:12,1622142432.8104584,3,1.9791948795318604
27-5-2021 15:7:17,1622142437.81376,3,1.7808218002319336
27-5-2021 15:7:22,1622142442.8188322,3,1.7479090690612793
27-5-2021 15:7:27,1622142447.823976,3,1.7842848300933838
27-5-2021 15:7:32,1622142452.828992,3,3.526606559753418
27-5-2021 15:7:37,1622142457.8355656,3,1.669797420501709
27-5-2021 15:7:42,1622142462.8406076,3,1.8255267143249512
27-5-2021 15:7:47,1622142467.8456368,3,2.117593288421631
27-5-2021 15:7:52,1622142472.8488977,3,4.01928448677063
27-5-2021 15:7:57,1622142477.8539252,3,1.7051823139190674
27-5-2021 15:8:2,1622142482.8589995,3,2.060526132583618
27-5-2021 15:8:7,1622142487.8640063,3,1.8440651893615723
27-5-2021 15:8:12,1622142492.8687155,3,1.9691901206970215
27-5-2021 15:8:17,1622142497.8737323,3,1.9727349281311035
27-5-2021 15:8:22,1622142502.8788364,3,2.1247732639312744
27-5-2021 15:8:27,1622142507.883815,3,1.9760982990264893
27-5-2021 15:8:32,1622142512.8888402,3,3.268442392349243
27-5-2021 15:8:37,1622142517.8938973,3,1.9537298679351807
27-5-2021 15:8:42,1622142522.8988519,3,1.9489786624908447
27-5-2021 15:8:47,1622142527.903911,3,1.9355030059814453
27-5-2021 15:8:52,1622142532.9090977,3,3.143991470336914
27-5-2021 15:8:57,1622142537.9141462,3,1.8872950077056885
27-5-2021 15:9:2,1622142542.9192097,3,2.098376989364624
27-5-2021 15:9:7,1622142547.9242232,3,1.763411045074463
27-5-2021 15:9:12,1622142552.9292867,3,1.7789585590362549
27-5-2021 15:9:17,1622142557.9342997,3,2.3396034240722656
27-5-2021 15:9:22,1622142562.9393692,3,1.7857551574707031
27-5-2021 15:9:27,1622142567.9444215,3,2.1331138610839844
27-5-2021 15:9:32,1622142572.9494863,3,3.094147205352783
27-5-2021 15:9:37,1622142577.9544995,3,1.748213291168213
27-5-2021 15:9:42,1622142582.9595513,3,1.875725507736206
27-5-2021 15:9:47,1622142587.9646213,3,1.9258522987365723
27-5-2021 15:9:52,1622142592.969683,4,2.2707717418670654
27-5-2021 15:9:57,1622142597.9747353,4,1.8521819114685059
27-5-2021 15:10:2,1622142602.979758,4,2.160493850708008
27-5-2021 15:10:7,1622142607.9848158,4,2.155953884124756
27-5-2021 15:10:12,1622142612.9888635,4,2.317140817642212
27-5-2021 15:10:17,1622142617.993895,4,2.222888946533203
27-5-2021 15:10:22,1622142622.9989588,4,2.2458982467651367
27-5-2021 15:10:28,1622142628.004011,4,1.8889317512512207
27-5-2021 15:10:33,1622142633.0090392,4,3.5298070907592773
27-5-2021 15:10:38,1622142638.0140986,4,2.114809036254883
