time_stamp,time,model_number,QOS
26-5-2021 19:46:51,1622072811.1105635,None,0.0
26-5-2021 19:46:56,1622072816.1260664,1,0.0
26-5-2021 19:47:1,1622072821.1311767,1,0.0
26-5-2021 19:47:6,1622072826.1358624,1,0.0
26-5-2021 19:47:11,1622072831.1396506,1,0.0
26-5-2021 19:47:16,1622072836.144732,1,0.0
26-5-2021 19:47:21,1622072841.1497767,1,0.0
26-5-2021 19:47:26,1622072846.154863,1,0.0
26-5-2021 19:47:31,1622072851.159911,1,0.0
26-5-2021 19:47:36,1622072856.1615694,1,0.0
26-5-2021 19:47:41,1622072861.1658537,1,0.0
26-5-2021 19:47:46,1622072866.1709044,1,0.0
26-5-2021 19:47:51,1622072871.1759446,1,1.8317461013793945
26-5-2021 19:47:56,1622072876.1810048,1,1.5168583393096924
26-5-2021 19:48:1,1622072881.1860619,1,1.6604151725769043
26-5-2021 19:48:6,1622072886.1912496,1,1.735297441482544
26-5-2021 19:48:11,1622072891.1963074,1,1.6344406604766846
26-5-2021 19:48:16,1622072896.2013695,1,1.6043288707733154
26-5-2021 19:48:21,1622072901.2064185,1,2.7206461429595947
26-5-2021 19:48:26,1622072906.211465,1,3.988985300064087
26-5-2021 19:48:31,1622072911.2165148,1,1.561000108718872
26-5-2021 19:48:36,1622072916.221534,1,1.9529321193695068
26-5-2021 19:48:41,1622072921.2274976,1,2.0109548568725586
26-5-2021 19:48:46,1622072926.2325544,1,1.7543480396270752
26-5-2021 19:48:51,1622072931.2376213,1,2.005007028579712
26-5-2021 19:48:56,1622072936.2426383,1,1.5504450798034668
26-5-2021 19:49:1,1622072941.2495506,1,1.603480577468872
26-5-2021 19:49:6,1622072946.2545974,1,1.930802822113037
26-5-2021 19:49:11,1622072951.2596543,1,1.7981455326080322
26-5-2021 19:49:16,1622072956.2646768,1,1.656158685684204
26-5-2021 19:49:21,1622072961.269743,1,2.650157928466797
26-5-2021 19:49:26,1622072966.2748046,1,1.8363420963287354
26-5-2021 19:49:31,1622072971.279867,1,1.8309054374694824
26-5-2021 19:49:36,1622072976.2849212,1,1.649549961090088
26-5-2021 19:49:41,1622072981.2861526,1,1.5984277725219727
26-5-2021 19:49:46,1622072986.291165,1,1.5801241397857666
26-5-2021 19:49:51,1622072991.2962296,1,1.5663783550262451
26-5-2021 19:49:56,1622072996.3012834,1,1.5685968399047852
26-5-2021 19:50:1,1622073001.3063438,1,1.6065921783447266
26-5-2021 19:50:6,1622073006.3115373,1,1.7855517864227295
26-5-2021 19:50:11,1622073011.3166115,1,1.5397217273712158
26-5-2021 19:50:16,1622073016.3216164,1,1.5702605247497559
26-5-2021 19:50:21,1622073021.3266876,1,2.5048255920410156
