time_stamp,time,model_number,QOS
29-5-2021 17:41:19,1622324479.0692148,None,0.0
29-5-2021 17:41:24,1622324484.0951846,1,0.6883656978607178
29-5-2021 17:41:29,1622324489.099001,1,0.7574424743652344
29-5-2021 17:41:34,1622324494.1030293,1,0.6736664772033691
29-5-2021 17:41:39,1622324499.1080983,1,1.9043848514556885
29-5-2021 17:41:44,1622324504.1130066,1,1.666736125946045
29-5-2021 17:41:49,1622324509.1180484,1,2.0646440982818604
29-5-2021 17:41:54,1622324514.1230116,1,2.1493327617645264
29-5-2021 17:41:59,1622324519.128062,1,2.2581276893615723
29-5-2021 17:42:4,1622324524.1330025,1,2.1787517070770264
29-5-2021 17:42:9,1622324529.1380634,1,1.3198044300079346
29-5-2021 17:42:14,1622324534.143199,1,1.8991401195526123
29-5-2021 17:42:19,1622324539.148232,1,1.9184637069702148
29-5-2021 17:42:24,1622324544.1530638,1,1.7115757465362549
29-5-2021 17:42:29,1622324549.1581113,1,1.6500349044799805
29-5-2021 17:42:34,1622324554.162996,1,1.9065258502960205
29-5-2021 17:42:39,1622324559.1681538,1,1.8271052837371826
29-5-2021 17:42:44,1622324564.1730096,1,1.8322961330413818
29-5-2021 17:42:49,1622324569.178036,1,1.7104883193969727
29-5-2021 17:42:54,1622324574.1829996,1,2.29656982421875
29-5-2021 17:42:59,1622324579.188055,1,2.464480400085449
29-5-2021 17:43:4,1622324584.1930432,1,1.8850913047790527
29-5-2021 17:43:9,1622324589.1980639,1,2.35253643989563
29-5-2021 17:43:14,1622324594.2030547,1,1.590174913406372
29-5-2021 17:43:19,1622324599.2127864,1,2.3242647647857666
29-5-2021 17:43:24,1622324604.2130606,1,1.5512964725494385
29-5-2021 17:43:29,1622324609.2180812,1,2.18986177444458
29-5-2021 17:43:34,1622324614.2230492,1,1.4345431327819824
29-5-2021 17:43:39,1622324619.228103,1,1.95455002784729
29-5-2021 17:43:44,1622324624.2330406,1,1.6864955425262451
29-5-2021 17:43:49,1622324629.2380707,1,1.617417812347412
29-5-2021 17:43:54,1622324634.2430358,1,2.5651462078094482
29-5-2021 17:43:59,1622324639.250431,1,2.138786554336548
29-5-2021 17:44:4,1622324644.2530637,1,1.4157612323760986
29-5-2021 17:44:9,1622324649.2583761,1,1.977891206741333
29-5-2021 17:44:14,1622324654.2644477,1,1.5917630195617676
29-5-2021 17:44:19,1622324659.2694914,1,1.7289180755615234
29-5-2021 17:44:24,1622324664.2730715,2,2.0919783115386963
29-5-2021 17:44:29,1622324669.2780783,2,1.9244394302368164
29-5-2021 17:44:34,1622324674.2831445,2,2.0222978591918945
29-5-2021 17:44:39,1622324679.2881935,2,1.699037790298462
29-5-2021 17:44:44,1622324684.2932184,2,1.5545928478240967
29-5-2021 17:44:49,1622324689.2983148,2,1.9309546947479248
29-5-2021 17:44:54,1622324694.3033645,2,1.9960734844207764
29-5-2021 17:44:59,1622324699.304972,2,2.232048273086548
29-5-2021 17:45:4,1622324704.3100004,2,1.537320852279663
29-5-2021 17:45:9,1622324709.3130486,2,1.6446092128753662
29-5-2021 17:45:14,1622324714.3180883,2,2.2574450969696045
29-5-2021 17:45:19,1622324719.3233857,2,1.8321781158447266
29-5-2021 17:45:24,1622324724.3284416,2,1.6301369667053223
29-5-2021 17:45:29,1622324729.3335114,2,1.5851716995239258
29-5-2021 17:45:34,1622324734.3369884,2,1.6542112827301025
29-5-2021 17:45:39,1622324739.3422627,2,1.770686388015747
29-5-2021 17:45:44,1622324744.343034,2,1.354966640472412
29-5-2021 17:45:49,1622324749.3481739,2,2.0777993202209473
29-5-2021 17:45:54,1622324754.3531966,2,2.095503330230713
29-5-2021 17:45:59,1622324759.3582616,2,2.3012003898620605
29-5-2021 17:46:4,1622324764.3633142,2,1.648149013519287
29-5-2021 17:46:9,1622324769.368375,2,1.5581691265106201
29-5-2021 17:46:14,1622324774.3730357,2,1.7199344635009766
29-5-2021 17:46:19,1622324779.3794231,2,1.6790111064910889
29-5-2021 17:46:24,1622324784.3844829,2,1.4254205226898193
29-5-2021 17:46:29,1622324789.389558,2,1.8923964500427246
29-5-2021 17:46:34,1622324794.3931391,2,2.4886162281036377
29-5-2021 17:46:39,1622324799.3983035,2,1.5494472980499268
29-5-2021 17:46:44,1622324804.4030595,2,1.5919349193572998
29-5-2021 17:46:49,1622324809.4080763,2,1.8376567363739014
29-5-2021 17:46:54,1622324814.4135034,2,1.612886667251587
