time_stamp,time,model_number,QOS,QOS_avg,task
22-6-2021 22:21:56,1624414916.3095143,,0.0,0.0,None
22-6-2021 22:22:1,1624414921.3407273,1,0.0,0.0,Linear_Regression_Training
22-6-2021 22:22:6,1624414926.3457706,1,0.0,0.0,Linear_Regression_Training
22-6-2021 22:22:11,1624414931.347694,1,0.0,0.0,Linear_Regression_Training
22-6-2021 22:22:16,1624414936.3527174,1,1.0985336303710938,4.884178936481476,Linear_Regression_Training
22-6-2021 22:22:21,1624414941.357083,1,1.0342187881469727,1.1863820552825928,Linear_Regression_Training
22-6-2021 22:22:26,1624414946.3621142,1,1.562626600265503,1.3337055444717407,Linear_Regression_Training
22-6-2021 22:22:31,1624414951.3671682,1,1.270345687866211,1.1622769236564636,Linear_Regression_Training
22-6-2021 22:22:36,1624414956.3721821,1,1.3905057907104492,1.3435960412025452,Linear_Regression_Training
22-6-2021 22:22:41,1624414961.3772242,1,1.4374737739562988,1.5597550868988037,Linear_Regression_Training
22-6-2021 22:22:46,1624414966.38225,1,1.3525285720825195,1.2475568652153015,Linear_Regression_Training
22-6-2021 22:22:51,1624414971.387284,1,0.9568662643432617,1.2417640089988708,Linear_Regression_Training
22-6-2021 22:22:56,1624414976.39232,1,1.1731653213500977,1.3852632641792297,Linear_Regression_Training
22-6-2021 22:23:1,1624414981.397172,1,1.6700043678283691,1.2162293593088787,Linear_Regression_Training
22-6-2021 22:23:6,1624414986.402198,1,1.1053643226623535,1.6058757901191711,Linear_Regression_Training
22-6-2021 22:23:11,1624414991.4088752,1,1.2263786792755127,1.2889711260795593,Linear_Regression_Training
22-6-2021 22:23:16,1624414996.4127834,1,1.1279058456420898,1.2361698150634766,Linear_Regression_Training
22-6-2021 22:23:21,1624415001.417127,1,1.160341501235962,1.2428860664367676,Linear_Regression_Training
22-6-2021 22:23:26,1624415006.4241872,1,1.3995261192321777,1.3200271725654602,Linear_Regression_Training
22-6-2021 22:23:31,1624415011.427082,1,0.9607136249542236,1.1590646743774413,Linear_Regression_Training
22-6-2021 22:23:36,1624415016.4321456,1,1.2176334857940674,1.3181041876475017,Linear_Regression_Training
