time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
11-6-2021 17:19:4,1623446344.2649026,1000.0,74.4,209.46,62.04,620.2,19.7,7175520,5186292,0.0,0.0,65.244,0,0,41.89,4.52,0.01,0.08,6.142590902874312,12942,239,171966464,442368,40784062,434605
11-6-2021 17:19:13,1623446353.4714475,1000.0,84.8,234.76,67.41,625.73,19.8,10737950,5940786,0.0038694537939510006,0.0008195191683242242,65.731,0,0,48.66,5.02,0.01,0.08,6.134425821254116,13996,242,172097536,442368,40861169,437545
11-6-2021 17:19:18,1623446358.4740028,1000.0,80.9,247.82,70.87,628.61,19.8,11458772,6335041,0.0014409075894992707,0.0007881072188390962,65.731,0,0,53.22,5.34,0.01,0.08,6.161268527080513,15050,245,172359680,442368,40938303,440485
11-6-2021 17:19:23,1623446363.4798598,1000.0,85.7,261.21,74.39,631.39,19.8,12279102,6805909,0.0016387403825265337,0.0009406341428931088,65.731,0,0,57.21,5.65,0.01,0.08,6.168004719417176,16104,248,172359680,442368,41015438,443425
11-6-2021 17:19:28,1623446368.4836578,1000.0,87.0,274.22,77.98,634.39,19.8,12776873,7084687,0.0009947863586972213,0.0005571328010368101,66.705,0,0,60.64,5.94,0.01,0.08,6.168004719417176,17158,251,172359680,442368,41092556,446365
11-6-2021 17:19:33,1623446373.486109,1000.0,81.1,286.76,81.45,637.95,19.8,13293972,7472307,0.0010336912470459518,0.0007748601354478578,65.731,0,0,65.18,6.5,0.01,0.08,6.2732322087974675,18206,251,172879872,442368,41166773,446365
11-6-2021 17:19:38,1623446378.4888127,1000.0,91.3,300.28,86.2,639.39,19.9,14026114,7670953,0.0014634926407401088,0.00039707728707335415,66.218,0,0,69.27,8.85,0.01,0.08,6.3938712897358805,19255,251,174084096,442368,41240990,446365
11-6-2021 17:19:43,1623446383.4967654,1000.0,97.8,314.27,91.97,639.65,20.0,14796812,7905178,0.0015389482442990856,0.0004677060956703577,66.705,0,0,74.64,10.7,0.01,0.08,6.377336999454982,20312,253,174084096,442368,41317738,448567
11-6-2021 17:19:48,1623446388.5072284,1000.0,99.0,327.72,97.93,639.99,19.9,15607112,8091559,0.0016172158143990087,0.00037198358719425106,67.679,0,0,81.05,13.22,0.01,0.08,6.304361582474469,21371,256,174084096,442368,41395596,451873
11-6-2021 17:19:53,1623446393.5279675,1000.0,93.3,340.87,104.17,640.79,19.9,16317411,8262539,0.0014147299608509739,0.00034054747184819286,68.166,0,0,86.98,15.8,0.01,0.08,6.3307960342198575,22428,258,174084096,442368,41472358,454077
11-6-2021 17:19:58,1623446398.540512,1000.0,99.3,354.26,110.03,641.44,19.9,16813824,8436873,0.0009903413065592802,0.00034779540692468885,67.192,0,0,92.39,18.59,0.01,0.08,6.347126197460251,23487,261,174084096,442368,41550198,457383
11-6-2021 17:20:3,1623446403.5450196,1000.0,96.1,367.09,115.81,642.63,19.9,17196353,8609018,0.0007643689150548922,0.0003439798992550223,69.627,0,0,97.69,21.47,0.01,0.08,6.291909833003668,24544,263,174084096,442368,41626926,459587
11-6-2021 17:20:8,1623446408.5456915,1000.0,91.9,380.66,120.97,643.57,20.0,17868758,8780888,0.0013446293185129371,0.00034369381693000276,68.166,0,0,103.2,24.19,0.01,0.08,6.3291630178958185,25601,265,174084096,442368,41703688,461791
11-6-2021 17:20:13,1623446413.5479364,1000.0,96.7,394.33,126.42,644.24,19.9,18694488,8962756,0.0016507188439638728,0.0003635727595146375,68.166,0,0,108.86,26.68,0.01,0.08,6.362231598457615,26656,266,174084096,442368,41779351,462893
11-6-2021 17:20:18,1623446418.5509448,1000.0,99.5,407.96,131.96,644.94,19.9,19657872,9142872,0.001925609412564862,0.00036001538841576433,68.166,0,0,114.27,29.36,0.01,0.08,6.397545576464969,27674,269,174084096,442368,41855025,466199
11-6-2021 17:20:23,1623446423.5681038,1000.0,93.0,421.72,137.2,645.72,19.9,20140044,9323361,0.0009610458855864687,0.000359743433554035,68.653,0,0,120.12,32.16,0.01,0.08,6.391115574689063,28690,271,174084096,442368,41929634,468403
11-6-2021 17:20:28,1623446428.5691063,1000.0,98.5,435.52,142.77,646.21,19.9,20755394,9497186,0.0012304532817816786,0.0003475803066640128,68.653,0,0,126.07,35.01,0.01,0.08,6.3707028706385715,29708,274,174084096,442368,42005348,471709
11-6-2021 17:20:33,1623446433.5721025,1000.0,95.2,448.4,148.36,647.48,19.9,21179483,9662707,0.000847670041139269,0.00033084374477860293,69.14,0,0,130.94,37.78,0.01,0.08,6.356924295404489,30718,276,174084096,442368,42079590,473913
11-6-2021 17:20:38,1623446438.5876422,1000.0,91.5,462.61,153.36,648.19,19.9,21863845,9846939,0.001364483282522761,0.00036732238801355613,69.14,0,0,137.46,40.26,0.01,0.08,6.28456125954549,31728,278,174084096,442368,42153844,476117
11-6-2021 17:20:43,1623446443.5893571,1000.0,97.5,476.45,158.86,648.72,20.0,22721938,10021562,0.0017155975689604982,0.0003491262535466308,68.653,0,0,143.17,43.56,0.01,0.08,6.3688657272740254,32738,280,174084096,442368,42228130,478319
11-6-2021 17:20:48,1623446448.5982275,1000.0,99.0,489.8,164.66,649.43,20.0,23218358,10197771,0.000991081748978103,0.0003517938920786483,69.627,0,0,148.04,45.72,0.01,0.08,6.401832244315572,33750,283,174084096,442368,42303499,481625
11-6-2021 17:20:53,1623446453.603385,1000.0,99.8,503.45,170.32,650.12,20.0,23855661,10391493,0.001273292606137468,0.00038704476559213213,69.14,0,0,153.78,48.86,0.01,0.08,6.376010173691698,34770,287,174084096,442368,42380302,486033
11-6-2021 17:20:58,1623446458.6152368,1000.0,93.2,516.7,175.76,651.11,20.2,24645841,10652242,0.0015766228402048785,0.0005202647864544558,68.653,0,0,159.21,51.27,0.01,0.08,6.309056504406082,35786,289,174084096,442368,42454922,488237
11-6-2021 17:21:3,1623446463.619107,1000.0,81.7,530.15,180.8,652.51,20.0,25095275,10818158,0.0008981727695842427,0.0003315753441847729,69.14,0,0,164.7,53.9,0.01,0.08,6.30109554982639,36801,291,174084096,442368,42529542,490441
11-6-2021 17:21:8,1623446468.6252084,1000.0,99.5,544.06,185.98,653.3,20.0,25834578,10999617,0.0014768038946462681,0.0003624756803619317,69.14,0,0,170.16,56.65,0.01,0.08,6.351412865310854,37818,294,174084096,442368,42605261,493745
11-6-2021 17:21:13,1623446473.6328282,1000.0,91.8,557.62,191.24,654.19,20.0,26854788,11193276,0.0020373151895971523,0.0003867286365573705,69.627,0,0,176.29,59.04,0.01,0.08,6.280989036336654,38833,296,174084096,442368,42679855,495947
11-6-2021 17:21:18,1623446478.6444921,1000.0,95.3,571.61,196.66,654.73,20.0,27188067,11350037,0.0006650066838822894,0.0003127923234649395,69.627,0,0,182.61,61.93,0.01,0.08,6.372029696401853,39848,298,174084096,442368,42754460,498151
11-6-2021 17:21:23,1623446483.647176,1000.0,99.5,585.93,201.54,655.33,20.0,27689207,11527857,0.0010017422891927031,0.00035544920354441166,68.653,0,0,188.56,64.3,0.01,0.08,6.376214300732204,40860,301,174084096,442368,42829853,501457
11-6-2021 17:21:28,1623446488.6570227,1000.0,94.3,599.55,207.05,656.04,20.0,28315019,11710121,0.0012491639745869426,0.00036381153231979335,69.627,0,0,195.0,66.71,0.01,0.08,6.295788246773262,41864,303,174084096,442368,42903875,503661
11-6-2021 17:21:33,1623446493.6662996,1000.0,84.8,612.94,212.21,657.37,20.0,28927155,11871458,0.0012220047249599365,0.00032207642796839474,70.114,0,0,200.42,69.16,0.01,0.08,6.283540624342966,42868,305,174084096,442368,42977898,505867
11-6-2021 17:21:38,1623446498.68806,1000.0,99.8,627.17,217.61,657.68,20.0,29402818,12056374,0.0009472036817306729,0.00036822943136403106,70.601,0,0,206.86,71.77,0.01,0.08,6.288031419234075,43880,308,174084096,442368,43053311,509176
11-6-2021 17:21:43,1623446503.695784,1000.0,98.5,641.37,222.89,658.23,20.6,29991406,12222271,0.0011753602924406909,0.00033128223211318156,70.114,0,0,212.49,74.0,0.01,0.08,6.2798663376138775,44890,310,174084096,442368,43127665,511382
11-6-2021 17:21:48,1623446508.6994815,1000.0,91.7,655.47,228.04,658.71,20.7,30580608,12380875,0.0011775332388216189,0.00031697360465521843,69.627,0,0,217.27,76.28,0.01,0.08,6.358046994127264,45900,312,174084096,442368,43201981,513588
11-6-2021 17:21:53,1623446513.7024403,1000.0,99.8,669.5,233.39,659.2,20.2,31202505,12553695,0.0012430584140759142,0.00034543558679427544,69.627,0,0,222.53,78.71,0.01,0.08,6.359782073971557,46912,315,174084096,442368,43277419,516895
11-6-2021 17:21:58,1623446518.7026827,1000.0,98.8,683.0,239.22,659.72,20.3,31952764,12727242,0.0015004452369000469,0.00034707716872212454,69.627,0,0,228.17,81.41,0.01,0.08,6.354168580357672,47922,317,174084096,442368,43351723,519101
11-6-2021 17:22:3,1623446523.7178032,1000.0,94.8,696.18,244.63,661.12,20.2,32645291,12892336,0.0013808780848474016,0.00032919248858137936,70.114,0,0,233.55,84.2,0.01,0.08,6.312730791135171,48932,319,174084096,442368,43426031,521307
11-6-2021 17:22:8,1623446528.718011,1000.0,97.2,710.23,249.7,661.65,20.1,32958522,13059306,0.000626435982537232,0.0003339261312074527,70.601,0,0,239.39,87.13,0.01,0.08,6.370498743598066,49942,321,174084096,442368,43500354,523513
11-6-2021 17:22:13,1623446533.7212594,1000.0,91.4,724.02,254.92,662.45,20.2,33561324,13241521,0.0012048212389325877,0.0003641933869696874,70.601,0,0,245.28,89.41,0.01,0.08,6.278437448330343,50954,324,174084096,442368,43575762,526822
11-6-2021 17:22:18,1623446538.724081,1000.0,97.7,737.45,260.69,663.04,20.2,34153952,13415714,0.0011845874937120398,0.00034818950385770057,71.575,0,0,251.06,92.76,0.01,0.08,6.367640965030996,51964,326,174084096,442368,43650077,529028
11-6-2021 17:22:23,1623446543.7271276,1000.0,91.7,750.56,266.45,663.99,20.2,34887880,13603949,0.0014669621762481643,0.00037624075555922815,71.088,0,0,256.67,95.8,0.01,0.08,6.3562098507627205,52974,328,174084096,442368,43724416,531234
11-6-2021 17:22:28,1623446548.7282166,1000.0,99.5,764.01,272.51,664.31,20.2,35911067,13792473,0.002045928357493542,0.00037696588958627557,71.575,0,0,262.12,98.55,0.01,0.08,6.430001775905253,53986,331,174084096,442368,43799848,534543
11-6-2021 17:22:33,1623446553.7442226,1000.0,93.8,777.15,277.98,665.55,20.2,36194767,13960509,0.0005655894359021257,0.00033499959975766513,71.575,0,0,267.65,101.22,0.01,0.08,6.337838417117276,54996,333,174084096,442368,43874159,536749
11-6-2021 17:22:38,1623446558.7450337,1000.0,99.5,791.19,283.21,666.19,20.2,36651205,14142563,0.0009127279372729014,0.0003640489439798632,70.601,0,0,274.17,103.89,0.01,0.08,6.413977803225615,56008,336,174084096,442368,43949585,540056
11-6-2021 17:22:43,1623446563.7561514,1000.0,97.2,805.35,288.11,666.88,20.2,37314609,14324106,0.0013238643355526374,0.0003622804551513594,71.575,0,0,280.3,106.18,0.01,0.08,6.273538399358225,57018,338,174084096,442368,44023952,542260
11-6-2021 17:22:48,1623446568.7589927,1000.0,99.5,819.18,293.49,667.64,20.1,38000328,14497384,0.001370659127280245,0.0003463591824885504,71.575,0,0,286.32,109.11,0.01,0.08,6.378970015779021,58028,340,174084096,442368,44098285,544466
11-6-2021 17:22:53,1623446573.7646835,1000.0,99.0,832.81,298.99,668.3,20.2,38823155,14665210,0.0016437831075232757,0.0003352704077566746,71.088,0,0,292.18,111.66,0.01,0.08,6.386216525716945,59038,342,174084096,442368,44172612,546670
11-6-2021 17:22:58,1623446578.76765,1000.0,92.1,847.1,303.76,669.16,20.4,39712532,14939278,0.0017776993251360253,0.0005478109942593301,70.114,0,0,298.03,113.35,0.01,0.08,6.289868562598619,60048,344,174084096,442368,44246950,548872
11-6-2021 17:23:3,1623446583.775721,1000.0,85.8,860.15,309.08,670.6,20.3,40074389,15104533,0.0007225476369917354,0.00032997733842669684,70.601,0,0,303.23,115.88,0.01,0.08,6.295890310293514,61067,348,174084096,442368,44323790,553284
11-6-2021 17:23:8,1623446588.7779655,1000.0,95.6,874.25,314.39,671.13,20.1,40633729,15276344,0.001118178056019813,0.0003434678191847894,71.088,0,0,309.35,119.12,0.01,0.08,6.374275093847406,62082,350,174084096,442368,44398433,555488
11-6-2021 17:23:13,1623446593.7807684,1000.0,99.2,887.77,320.2,671.59,20.2,41285593,15448281,0.001302997578955736,0.00034368134263115064,71.088,0,0,314.67,121.39,0.01,0.08,6.422347011886317,63099,353,174084096,442368,44474180,558797
11-6-2021 17:23:18,1623446598.7838528,1000.0,95.2,901.72,325.21,672.44,20.2,42014701,15623470,0.0014573170041197634,0.00035016199058951106,71.575,0,0,320.83,123.91,0.01,0.08,6.293440785807455,64112,354,174084096,442368,44547713,559900
