time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
29-5-2021 17:41:16,1622324476.4706428,1000.0,79.0,263.48,70.69,764.9,19.1,11733032,7542487,0.0,0.0,0,0,13581,320,2093056,602112,43404023,567877,6.263229983812725,58.55,4.8,0.02,0.11
29-5-2021 17:41:23,1622324483.6679726,1000.0,61.1,279.19,77.44,770.67,19.2,12060856,7884646,0.00045548003349831287,0.0004753971423134036,0,0,14622,324,3948544,602112,43482429,572285,6.483278933477039,66.89,10.3,0.02,0.11
29-5-2021 17:41:28,1622324488.6741579,1000.0,69.1,289.51,82.89,774.79,19.0,12381344,8129484,0.0006401840547841423,0.000489070990505853,0,0,15663,329,4079616,602112,43561940,577791,6.4364317776811575,73.83,15.0,0.02,0.11
29-5-2021 17:41:33,1622324493.6774428,1000.0,95.2,301.59,88.19,777.12,19.5,12611882,8352963,0.00046077327829797797,0.0004466645475399015,0,0,16708,333,4210688,602112,43640927,582199,6.3657017581462,81.09,19.12,0.02,0.11
29-5-2021 17:41:38,1622324498.6821694,1000.0,99.3,315.26,94.07,777.47,19.9,13044637,8538974,0.00086469258045161,0.00037167064870974206,0,0,17715,336,4210688,602112,43716897,585505,6.401832244315572,87.5,22.51,0.02,0.11
29-5-2021 17:41:43,1622324503.688205,1000.0,99.3,328.3,99.8,778.53,19.8,13323029,8724624,0.000556112708971614,0.00037085233922160173,0,0,18716,339,4210688,602112,43792569,588811,6.487973855408652,94.04,26.09,0.02,0.11
29-5-2021 17:41:48,1622324508.71749,1000.0,91.7,341.34,105.45,779.8,19.9,13599187,8909625,0.0005490999267728088,0.0003678475204516849,0,0,19720,341,4210688,602112,43867501,591015,6.357638740046255,100.43,28.83,0.02,0.11
29-5-2021 17:41:53,1622324513.7227101,1000.0,99.3,354.74,111.05,780.66,19.7,13964600,9090220,0.0007300637878839627,0.0003608132983033013,0,0,20725,344,4210688,602112,43943538,594321,6.523594023976763,106.72,31.96,0.02,0.11
29-5-2021 17:41:58,1622324518.7228866,1000.0,86.3,366.9,116.4,782.65,19.8,14280423,9263434,0.0006316237125574449,0.00034641577639033655,0,0,21733,346,4210688,602112,44018762,596525,6.490831633975722,112.04,34.96,0.02,0.11
29-5-2021 17:42:3,1622324523.7256653,1000.0,96.5,380.19,121.79,783.72,19.9,14700869,9513729,0.000840424930728548,0.0005003119497788109,0,0,22741,348,4210688,602112,44094015,598729,6.490525443414964,118.85,38.37,0.02,0.11
29-5-2021 17:42:8,1622324528.7319152,1000.0,94.0,393.87,127.03,784.71,19.8,15029550,9701812,0.0006565413358527163,0.0003756963866824868,0,0,23751,351,4210688,602112,44170385,602035,6.382746366028362,125.33,40.61,0.02,0.11
29-5-2021 17:42:13,1622324533.7352471,1000.0,99.5,407.31,132.72,785.59,19.8,15390759,9889761,0.0007219369157296504,0.00037564767592854014,0,0,24761,354,4210688,602112,44246742,605339,6.528901327029891,131.79,43.85,0.02,0.11
29-5-2021 17:42:18,1622324538.7475703,1000.0,88.2,420.42,137.89,786.92,19.9,15783193,10067789,0.0007829383480531776,0.0003551806118410003,0,0,25769,356,4210688,602112,44321997,607543,6.450108289394987,137.97,46.68,0.02,0.11
29-5-2021 17:42:23,1622324543.748824,1000.0,94.7,433.51,143.45,787.96,19.9,16217983,10269061,0.0008693620327011136,0.0004024430990726984,0,0,26779,359,4210688,602112,44398372,610847,6.415712883069907,144.48,49.82,0.02,0.11
29-5-2021 17:42:28,1622324548.7520084,1000.0,99.0,446.53,149.57,788.78,19.8,16521985,10455901,0.0006076170018094459,0.0003734421504400526,0,0,27789,362,4210688,602112,44474719,614153,6.522471325253985,150.54,53.02,0.02,0.11
29-5-2021 17:42:33,1622324553.7553933,1000.0,93.0,460.08,154.97,789.72,19.8,16874924,10630766,0.0007054004680688299,0.00034949340494775565,0,0,28797,364,4210688,602112,44549977,616357,6.486851156685875,157.72,56.56,0.02,0.11
29-5-2021 17:42:38,1622324558.759792,1000.0,91.9,472.93,160.76,790.76,19.9,17207818,10813419,0.0006652027781726224,0.00036498489922186646,0,0,29807,367,4210688,602112,44626313,619663,6.465417817432857,163.89,59.21,0.02,0.11
29-5-2021 17:42:43,1622324563.7680576,1000.0,99.0,485.99,166.61,791.71,19.8,17573733,10996018,0.0007306222091128576,0.0003645952878723165,0,0,30817,370,4210688,602112,44702692,622969,6.480319091389718,169.68,62.7,0.02,0.11
29-5-2021 17:42:48,1622324568.770116,1000.0,95.0,499.64,171.51,792.99,19.8,17943394,11182503,0.0007390177455055859,0.0003728165109941519,0,0,31825,372,4210688,602112,44777951,625173,6.484605759240321,176.64,65.15,0.02,0.11
29-5-2021 17:42:53,1622324573.7736943,1000.0,90.9,511.65,177.27,794.88,19.9,18171216,11347787,0.000455318157385538,0.0003303316024146538,0,0,32833,374,4210688,602112,44853242,627377,6.478073693944163,182.65,68.71,0.02,0.11
29-5-2021 17:42:58,1622324578.7768817,1000.0,95.7,524.35,182.87,796.42,19.8,18396441,11508066,0.0004501630284534743,0.0003203537797202549,0,0,33843,377,4210688,602112,44929601,630683,6.48664702964537,188.62,71.81,0.02,0.11
29-5-2021 17:43:3,1622324583.7855577,1000.0,96.1,537.64,188.38,797.51,19.8,18800867,11694553,0.0008074509027809049,0.00037232793269201936,0,0,34851,379,4210688,602112,45004862,632887,6.497669889832636,195.48,75.13,0.02,0.11
29-5-2021 17:43:8,1622324588.7975402,1000.0,97.3,550.8,193.85,798.68,19.8,19079290,11879740,0.0005555147155449934,0.0003694885251133372,0,0,35861,382,4210688,602112,45081213,636193,6.536147836967815,201.21,77.52,0.02,0.11
29-5-2021 17:43:13,1622324593.7997,1000.0,99.3,564.01,199.71,799.62,19.8,19403236,12061291,0.000647612253019328,0.0003629452197215339,0,0,36871,385,4210688,602112,45157572,639497,6.523696087497015,208.03,80.89,0.02,0.11
29-5-2021 17:43:18,1622324598.8029752,1000.0,93.7,577.39,205.04,800.7,19.8,19664737,12233325,0.0005226596416255469,0.00034384277225482635,0,0,37879,387,4210688,602112,45232836,641701,6.497669889832636,214.92,83.92,0.02,0.11
29-5-2021 17:43:23,1622324603.8060758,1000.0,90.4,590.83,210.23,801.78,19.9,19985549,12420843,0.0006412263583988677,0.00037480357428724265,0,0,38889,390,4210688,602112,45309191,645007,6.3838690647511385,221.67,86.64,0.02,0.11
29-5-2021 17:43:28,1622324608.8074577,1000.0,92.7,604.05,215.72,802.88,19.8,20237699,12585960,0.0005041606626891639,0.00033014275685602486,0,0,39897,392,4210688,602112,45384425,647211,6.4856263944428445,228.18,90.04,0.02,0.11
29-5-2021 17:43:33,1622324613.8165154,1000.0,91.1,617.41,221.38,803.79,19.9,20556665,12769407,0.0006367784427081621,0.00036623055428943585,0,0,40907,395,4210688,602112,45460773,650517,6.496036873508597,235.17,93.47,0.02,0.11
29-5-2021 17:43:38,1622324618.8174493,1000.0,92.3,630.64,226.99,804.78,20.0,20827371,12960495,0.0005413108955126894,0.0003821046315993321,0,0,41917,398,4210688,602112,45537116,653823,6.378765888738515,241.59,96.02,0.02,0.11
29-5-2021 17:43:43,1622324623.8364358,1000.0,98.8,644.4,232.22,805.67,19.8,21152735,13141280,0.0006482663429422281,0.0003602022067862785,0,0,42927,401,4210688,602112,45613511,657127,6.495220365346577,247.92,98.65,0.02,0.11
29-5-2021 17:43:48,1622324628.8409493,1000.0,99.0,657.08,238.16,806.82,19.8,21418300,13328186,0.000530650981134231,0.00037347486408176745,0,0,43943,404,4210688,602112,45690247,660433,6.481441790112494,254.57,102.36,0.02,0.11
29-5-2021 17:43:53,1622324633.8461802,1000.0,99.5,669.17,243.83,808.84,19.9,21626723,13490073,0.0004164103595081516,0.0003234356278803018,0,0,44957,406,4210688,602112,45765831,662637,6.491954332698498,260.04,105.29,0.02,0.11
29-5-2021 17:43:58,1622324638.8500025,1000.0,89.4,682.86,249.0,809.9,19.8,21845305,13664461,0.00043683005856423845,0.0003485095765108765,0,0,45971,408,4210688,602112,45841427,664842,6.492668777340266,266.9,108.36,0.02,0.11
29-5-2021 17:44:3,1622324643.8553038,1000.0,94.1,696.55,254.64,810.56,20.1,22058863,13929606,0.0004266636309855002,0.0005297283568756518,0,0,46987,411,4210688,602112,45918150,668151,6.3657017581462,273.69,110.89,0.02,0.11
29-5-2021 17:44:8,1622324648.8584015,1000.0,90.0,709.91,260.38,811.58,19.9,22178935,14085006,0.00023999530982110473,0.00031060756168132186,0,0,48006,413,4210688,602112,45994083,670357,6.482666552355525,279.95,113.98,0.02,0.11
29-5-2021 17:44:13,1622324653.863509,1000.0,91.2,722.96,266.53,812.43,20.0,22309954,14264356,0.00026177060641428915,0.00035833396881675757,0,0,49027,416,4210688,602112,46071107,673666,6.468173532479674,286.07,116.52,0.02,0.11
29-5-2021 17:44:18,1622324658.866953,1000.0,97.8,736.17,272.38,813.22,20.0,22432985,14433904,0.0002458926313009671,0.0003388625944015441,0,0,50048,419,4210688,602112,46148094,676975,6.4978740168731415,292.33,119.85,0.02,0.11
29-5-2021 17:44:23,1622324663.8753262,1000.0,92.7,749.63,277.7,814.2,20.0,22556482,14592060,0.0002465810625059505,0.0003157831730462368,0,0,51067,421,4210688,602112,46224010,679181,6.4896068717326925,300.11,123.64,0.02,0.11
29-5-2021 17:44:28,1622324668.8775225,1000.0,99.3,763.55,282.98,815.2,20.0,22676555,14756436,0.00024004055921023155,0.00032860765501604045,0,0,52088,424,4210688,602112,46301010,682488,6.49532242886683,305.84,126.06,0.02,0.11
29-5-2021 17:44:33,1622324673.877675,1000.0,90.6,776.83,287.86,816.41,20.0,22803493,14921317,0.0002538682525557692,0.00032975193676950776,0,0,53107,426,4210688,602112,46376915,684694,6.547783078276597,311.83,128.47,0.02,0.11
29-5-2021 17:44:38,1622324678.8786387,1000.0,99.0,790.44,293.49,817.14,20.0,22930241,15094661,0.0002534471512095838,0.00034662119307029773,0,0,54128,429,4210688,602112,46453942,688001,6.490729570455469,319.13,132.24,0.02,0.11
29-5-2021 17:44:43,1622324683.8838046,1000.0,94.5,803.57,299.22,818.07,19.9,23064017,15274997,0.00026727586045129786,0.0003602997516022698,0,0,55147,431,4210688,602112,46529858,690207,6.488994490611177,325.44,135.46,0.02,0.11
29-5-2021 17:44:48,1622324688.8869982,1000.0,91.9,816.8,304.76,819.16,20.0,23364846,15455891,0.0006012739522728588,0.00036155706505172885,0,0,56168,434,4210688,602112,46606866,693516,6.527370374226103,331.76,138.21,0.02,0.11
29-5-2021 17:44:53,1622324693.8941877,1000.0,90.1,829.68,310.31,820.58,19.9,23586382,15629583,0.0004424358204495594,0.0003468852129023042,0,0,57187,436,4210688,602112,46682806,695722,6.485524330922593,338.25,141.93,0.02,0.11
29-5-2021 17:44:58,1622324698.8973281,1000.0,97.5,841.6,316.24,822.43,20.0,23826178,15800943,0.0004792909621851967,0.00034250487614495367,0,0,58208,439,4210688,602112,46759832,699029,6.490831633975722,343.9,145.26,0.02,0.11
29-5-2021 17:45:3,1622324703.9065502,1000.0,99.0,854.82,321.99,823.32,19.8,24179820,15990822,0.0007059818826893604,0.00037905886151297943,0,0,59227,441,4210688,602112,46835748,701235,6.477869566903658,350.15,148.83,0.02,0.11
29-5-2021 17:45:8,1622324708.9077013,1000.0,95.3,867.95,327.63,824.42,20.0,24539579,16180107,0.000719352392864573,0.00037848286681742694,0,0,60248,444,4210688,602112,46912788,704544,6.4663363891151295,356.54,151.55,0.02,0.11
29-5-2021 17:45:13,1622324713.9162042,1000.0,91.2,880.96,333.21,825.48,20.0,24935133,16359543,0.0007897649320422956,0.00035826274123366557,0,0,61267,446,4210688,602112,46988706,706750,6.495934809988345,362.86,154.95,0.02,0.11
29-5-2021 17:45:18,1622324718.9303286,1000.0,90.9,893.77,339.23,826.7,20.0,25219662,16550866,0.00056745500843764,0.0003815681163583136,0,0,62288,449,4210688,602112,47065766,710057,6.496853381670617,369.17,158.4,0.02,0.11
29-5-2021 17:45:23,1622324723.9409559,1000.0,88.5,906.68,344.69,827.88,20.0,25561342,16737097,0.0006819106303578581,0.0003716720282198966,0,0,63307,451,4210688,602112,47141707,712263,6.459396069737962,375.18,160.57,0.02,0.11
29-5-2021 17:45:28,1622324728.9622402,1000.0,94.7,920.0,350.4,828.76,20.0,25966988,16932686,0.0008078530758001373,0.00038951986520925397,0,0,64328,454,4210688,602112,47218721,715572,6.473480835532802,381.88,163.93,0.02,0.11
29-5-2021 17:45:33,1622324733.9655879,1000.0,94.6,933.54,355.81,829.61,19.9,26325419,17105479,0.0007163823626273322,0.00034535477563454224,0,0,65349,457,4210688,602112,47295746,718879,6.485932585003602,388.53,167.28,0.02,0.11
29-5-2021 17:45:38,1622324738.977675,1000.0,90.1,946.72,361.09,830.9,20.1,26660239,17292076,0.0006680251018624725,0.0003722940085187019,0,0,66362,459,4210688,602112,47371391,721085,6.384379382352401,395.02,169.78,0.02,0.11
29-5-2021 17:45:43,1622324743.9809353,1000.0,90.9,960.14,366.31,831.92,20.0,27013379,17489833,0.000705819752716141,0.0003952562633456587,0,0,67385,463,4210688,602112,47449537,725497,6.433063681512826,401.12,172.64,0.02,0.11
29-5-2021 17:45:48,1622324748.9842842,1000.0,98.7,973.69,371.79,832.69,20.1,27330404,17668053,0.0006336256194376649,0.000356201428581912,0,0,68406,466,4210688,602112,47526586,728806,6.481645917152999,407.56,175.55,0.02,0.11
29-5-2021 17:45:53,1622324753.9910808,1000.0,90.7,986.33,377.04,834.48,20.3,27567539,17846971,0.0004736261905948978,0.0003573502467744446,0,0,69425,468,4210688,602112,47602534,731012,6.399790973910522,413.65,178.35,0.02,0.11
29-5-2021 17:45:58,1622324758.9950793,1000.0,70.3,998.65,382.41,836.53,20.0,27824950,18005950,0.0005144106239731476,0.0003177039310232548,0,0,70444,470,4210688,602112,47678493,733218,6.434390507276108,419.87,181.68,0.02,0.11
29-5-2021 17:46:4,1622324764.0074255,1000.0,96.4,1011.97,388.2,837.29,20.2,28264516,18289095,0.0008769665472487103,0.0005648951306987712,0,0,71465,473,4210688,602112,47755530,736527,6.476542741140376,426.12,184.74,0.02,0.11
