time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
29-5-2021 16:55:23,1622321723.9834917,1000.0,70.5,4531.16,1606.31,11627.61,20.7,100928604,121692678,0.0,0.0,0,0,6.269047604467117,13518,299,0,602112,43407780,547309,35.98,4.36,0.02,0.08
29-5-2021 16:55:31,1622321731.3831656,1000.0,46.2,4545.26,1608.4,11640.07,20.5,101158762,121990845,0.0003110380293849026,0.0004029461331242375,0,0,6.269047604467117,14525,302,0,602112,43483398,550249,38.7,4.6,0.02,0.08
29-5-2021 16:55:36,1622321736.388632,1000.0,85.6,4557.75,1610.12,11645.68,20.7,101443453,122439682,0.0005687601789120629,0.000896693651792131,0,0,6.2870107840315494,15532,305,0,602112,43558955,553189,44.59,4.9,0.02,0.08
29-5-2021 16:55:41,1622321741.3919284,1000.0,85.3,4571.75,1612.2,11648.87,20.9,102194131,122818443,0.0015003668455654722,0.0007570229136770011,0,0,6.2870107840315494,16544,308,0,602112,43634835,556129,47.34,5.26,0.02,0.08
29-5-2021 16:55:46,1622321746.3982239,1000.0,76.8,4585.41,1614.4,11652.41,20.9,102916323,123238069,0.0014425676796007226,0.0008381966362409619,0,0,6.278845702411353,17550,308,0,602112,43707801,556129,51.7,5.67,0.02,0.08
29-5-2021 16:55:51,1622321751.401309,1000.0,87.2,4600.41,1616.72,11654.89,20.9,104175921,123681872,0.00251764254586108,0.0008870586606050382,0,0,6.295482056212505,18568,311,0,602112,43784042,559069,55.81,6.04,0.02,0.08
29-5-2021 16:55:56,1622321756.4077835,1000.0,93.7,4614.25,1619.0,11658.24,21.4,104464217,123969358,0.0005758463371614477,0.0005742284321849625,0,0,6.278845702411353,19594,314,0,602112,43861588,562009,58.84,6.33,0.02,0.08
29-5-2021 16:56:1,1622321761.420274,1000.0,78.6,4626.73,1621.6,11662.57,21.3,104838983,124352230,0.0007476642582804178,0.0007638358599668596,0,0,6.282724116180946,20620,317,0,602112,43939089,564949,63.19,6.66,0.02,0.08
29-5-2021 16:56:6,1622321766.4276361,1000.0,74.8,4637.85,1625.23,11667.3,21.1,105132965,124792952,0.0005870995396897278,0.0008801480476054188,0,0,6.288031419234075,21640,317,0,602112,44013640,564949,67.65,6.98,0.02,0.08
29-5-2021 16:56:11,1622321771.4350684,1000.0,52.9,4647.23,1628.25,11674.64,21.2,105345852,125003354,0.00042514204994949933,0.00042017942661353,0,0,6.296400627894777,22660,317,0,602112,44088217,564949,68.47,7.18,0.02,0.08
29-5-2021 16:56:16,1622321776.4401753,1000.0,73.1,4658.47,1631.9,11680.38,21.0,105491659,125355688,0.0002913164536877636,0.0007039489969180115,0,0,6.302218248549167,23686,320,0,602112,44165710,567889,73.99,7.63,0.02,0.08
29-5-2021 16:56:21,1622321781.4405525,1000.0,99.3,4670.62,1637.33,11683.3,21.3,105733981,125601644,0.0004846074433281257,0.0004918748951032613,0,0,6.492464650299761,24709,321,0,602112,44241366,568991,78.04,9.86,0.02,0.08
29-5-2021 16:56:26,1622321786.4449933,1000.0,89.3,4683.24,1643.39,11684.72,21.3,106014642,125782039,0.000560823900388306,0.0003604698462221273,0,0,6.397341449424464,25733,323,0,602112,44318146,571195,84.55,12.33,0.02,0.08
29-5-2021 16:56:31,1622321791.4482048,1000.0,98.2,4696.6,1649.25,11685.59,21.3,106260806,125995142,0.0004920119808758546,0.0004259324237524059,0,0,6.511244338026214,26757,325,0,602112,44394935,573399,90.52,14.99,0.02,0.08
29-5-2021 16:56:36,1622321796.4544406,1000.0,97.5,4709.49,1655.41,11686.72,21.3,106570161,126180553,0.0006179393261015803,0.0003703600988890437,0,0,6.492158459739003,27781,327,0,602112,44471716,575603,97.48,18.03,0.02,0.08
29-5-2021 16:56:41,1622321801.455537,1000.0,88.7,4721.85,1661.43,11688.4,21.4,106931681,126371663,0.0007228814739657036,0.00038213619852175707,0,0,6.4729705179315395,28807,330,0,602112,44549609,578909,103.62,20.29,0.02,0.08
29-5-2021 16:56:46,1622321806.4630764,1000.0,98.3,4734.57,1667.76,11689.51,21.1,107283595,126546716,0.0007027683276416453,0.0003495788859171642,0,0,6.505120526811066,29831,332,0,602112,44626399,581113,110.11,23.3,0.02,0.08
29-5-2021 16:56:51,1622321811.4677992,1000.0,97.5,4747.69,1673.82,11690.42,21.2,107666001,126734965,0.0007640902657587807,0.000376142708113431,0,0,6.553600698930986,30851,335,0,602112,44703996,584419,116.68,25.59,0.02,0.08
29-5-2021 16:56:56,1622321816.4720592,1000.0,74.2,4759.37,1680.21,11692.72,21.2,107870726,126890370,0.0004091014404040747,0.00031054541138598226,0,0,6.404281768801631,31869,337,0,602112,44780479,586621,122.49,28.76,0.02,0.08
29-5-2021 16:57:1,1622321821.4732268,1000.0,97.3,4771.49,1686.82,11694.34,21.2,108209293,127068912,0.0006769759212776901,0.0003570006377962452,0,0,6.495934809988345,32887,339,0,602112,44856966,588825,128.83,32.1,0.02,0.08
29-5-2021 16:57:6,1622321826.4798765,1000.0,99.8,4784.13,1693.26,11695.31,21.2,108533584,127241756,0.000647720566288264,0.0003452288640743305,0,0,6.509101004100912,33915,343,0,602112,44935993,593233,134.48,35.05,0.02,0.08
29-5-2021 16:57:11,1622321831.4866123,1000.0,95.6,4796.57,1699.73,11696.48,21.2,108912890,127430529,0.0007575914029085649,0.0003770380692666568,0,0,6.497465762792132,34939,345,0,602112,45012795,595435,141.0,38.02,0.02,0.08
29-5-2021 16:57:16,1622321836.493161,1000.0,89.9,4809.19,1705.9,11697.81,21.3,109241924,127616196,0.0006572072368709977,0.0003708482893808163,0,0,6.408262246091477,35965,348,0,602112,45090701,598741,147.52,41.07,0.02,0.08
29-5-2021 16:57:21,1622321841.513097,1000.0,98.5,4822.21,1712.29,11698.52,21.2,109457505,127791125,0.0004294496909134483,0.00034846858017078777,0,0,6.503691637527531,36991,351,0,602112,45168611,602047,154.21,43.99,0.02,0.08
29-5-2021 16:57:26,1622321846.5331388,1000.0,96.5,4835.36,1718.34,11699.4,21.3,109761383,127969230,0.0006053296325150087,0.0003547878892156906,0,0,6.506549416094601,38015,353,0,602112,45245423,604251,160.85,47.32,0.02,0.08
29-5-2021 16:57:31,1622321851.5401652,1000.0,99.8,4847.63,1725.24,11700.32,21.3,110073911,128144077,0.0006241788497085686,0.00034920326925905545,0,0,6.477359249302396,39041,356,0,602112,45323372,607557,167.6,50.64,0.02,0.08
29-5-2021 16:57:36,1622321856.543104,1000.0,92.4,4859.93,1732.02,11701.26,21.2,110388707,128317615,0.0006292221749930875,0.00034687212608784873,0,0,6.502262748243997,40065,358,0,602112,45400194,609761,173.46,54.38,0.02,0.08
29-5-2021 16:57:41,1622321861.5462372,1000.0,88.3,4872.07,1738.48,11702.41,21.3,110717675,128495602,0.0006575239564363724,0.0003557510652532788,0,0,6.392442400452346,41091,361,0,602112,45478130,613065,179.94,56.99,0.02,0.08
29-5-2021 16:57:46,1622321866.5474045,1000.0,98.3,4885.02,1744.61,11703.27,21.4,111141487,128675577,0.000847426160335493,0.0003598659858767103,0,0,6.508182432418639,42117,364,0,602112,45556078,616371,186.11,60.2,0.02,0.08
29-5-2021 16:57:51,1622321871.55068,1000.0,95.6,4898.1,1750.49,11704.27,21.2,111448164,128853891,0.0006129524677790475,0.0003563945334653498,0,0,6.4895048082124385,43141,366,0,602112,45632921,618575,192.52,63.65,0.02,0.08
29-5-2021 16:57:56,1622321876.5622215,1000.0,90.7,4910.08,1755.86,11706.51,21.2,111671242,129017378,0.00044512850053489715,0.00032622097726781095,0,0,6.493077031421275,44165,368,0,602112,45709765,620779,197.66,66.79,0.02,0.08
29-5-2021 16:58:1,1622321881.5749576,1000.0,95.9,4922.16,1761.67,11708.48,21.3,111925008,129191931,0.0005062424908172147,0.00034821901081948445,0,0,6.503793701047784,45189,370,0,602112,45786626,622983,202.76,69.58,0.02,0.08
29-5-2021 16:58:6,1622321886.5903795,1000.0,86.7,4935.25,1767.23,11709.66,21.3,112298413,129363760,0.000744513641871889,0.0003426012896699424,0,0,6.4541908302050865,46213,372,0,602112,45863471,625187,209.82,72.93,0.02,0.08
29-5-2021 16:58:11,1622321891.5992675,1000.0,89.7,4948.88,1772.89,11710.52,21.3,112776113,129618481,0.0009537046933525329,0.0005085380221801351,0,0,6.492770840860517,47241,376,0,602112,45942484,629597,215.69,76.42,0.02,0.08
29-5-2021 16:58:16,1622321896.6032095,1000.0,93.9,4961.87,1778.69,11711.4,21.3,113188646,129803635,0.0008244160282949529,0.0003700162782199817,0,0,6.464601309270838,48265,378,0,602112,46019328,631803,222.13,79.5,0.02,0.08
29-5-2021 16:58:21,1622321901.6041348,1000.0,99.8,4975.08,1784.53,11712.36,21.3,113621847,129989319,0.0008662416928782434,0.00037129928716785916,0,0,6.530738470394434,49291,381,0,602112,46097263,635110,227.98,82.66,0.02,0.08
29-5-2021 16:58:26,1622321906.6042516,1000.0,96.5,4988.63,1789.5,11713.4,21.3,113948451,130167353,0.0006531927381381184,0.0003560596806581725,0,0,6.515326878836312,50315,383,0,602112,46174078,637316,234.28,85.78,0.02,0.08
29-5-2021 16:58:31,1622321911.6076415,1000.0,94.2,5002.48,1794.81,11714.26,21.2,114229973,130345258,0.0005626625333300168,0.0003555689359697524,0,0,6.475522105937852,51339,385,0,602112,46250888,639522,241.16,88.91,0.02,0.08
29-5-2021 16:58:36,1622321916.6108253,1000.0,88.7,5014.98,1800.79,11715.42,21.4,114552286,130532598,0.0006442157837840723,0.0003744415674642602,0,0,6.4807273454707275,52365,388,0,602112,46328802,642831,246.86,92.23,0.02,0.08
29-5-2021 16:58:41,1622321921.615674,1000.0,99.0,5028.33,1806.57,11716.15,21.4,114848255,130708377,0.0005913645279576743,0.00035121740912011736,0,0,6.477563376342902,53391,391,0,602112,46406712,646140,253.73,95.51,0.02,0.08
29-5-2021 16:58:46,1622321926.6167395,1000.0,94.5,5041.67,1811.86,11717.14,21.2,115208319,130884802,0.0007199745744794203,0.00035277482420495166,0,0,6.524308468618529,54410,393,0,602112,46483201,648346,259.63,98.85,0.02,0.08
29-5-2021 16:58:51,1622321931.6200716,1000.0,92.3,5054.53,1817.55,11718.24,21.4,115566103,131064132,0.0007150914433168508,0.0003584211382566321,0,0,6.416733518272431,55426,396,0,602112,46560526,651655,266.04,101.79,0.02,0.08
29-5-2021 16:58:56,1622321936.6247792,1000.0,79.6,5067.3,1822.63,11720.23,21.2,115894951,131229535,0.0006570773518375381,0.00033049483416649735,0,0,6.441228763133024,56440,398,0,602112,46636731,653861,271.55,104.76,0.02,0.08
29-5-2021 16:59:1,1622321941.6281903,1000.0,99.8,5079.62,1828.64,11721.67,21.3,116123424,131401660,0.0004566344789709741,0.00034401530899878287,0,0,6.414692247867383,57456,401,0,602112,46714000,657170,277.67,108.09,0.02,0.08
29-5-2021 16:59:6,1622321946.6312945,1000.0,97.0,5092.55,1834.56,11722.57,21.4,116432927,131584397,0.0006186219335339255,0.0003652472391808446,0,0,6.503793701047784,58472,404,0,602112,46791284,660477,283.18,111.81,0.02,0.08
29-5-2021 16:59:11,1622321951.6626112,1000.0,89.9,5105.93,1839.71,11723.93,21.2,116781073,131767545,0.000691958023715445,0.0003640160396139445,0,0,6.523185769895752,59486,406,0,602112,46867501,662681,289.98,115.02,0.02,0.08
29-5-2021 16:59:16,1622321956.6535091,1000.0,95.7,5118.58,1845.67,11724.93,21.3,117089057,131955938,0.0006170913662170443,0.0003774731601502923,0,0,6.510836083945204,60504,410,0,602112,46945917,667093,296.16,118.29,0.02,0.08
29-5-2021 16:59:21,1622321961.659551,1000.0,99.0,5131.69,1851.64,11725.92,21.3,117467825,132133026,0.0007566217338258323,0.00035374854686707693,0,0,6.508080368898388,61520,413,0,602112,47023222,670400,301.68,121.06,0.02,0.08
29-5-2021 16:59:26,1622321966.6708112,1000.0,88.3,5144.38,1857.19,11727.32,21.2,117729029,132302323,0.0005212341524302897,0.00033783318136012755,0,0,6.482564488835271,62534,415,0,602112,47099423,672606,308.29,124.2,0.02,0.08
29-5-2021 16:59:31,1622321971.6731868,1000.0,99.0,5157.86,1862.85,11727.99,21.3,118047859,132477094,0.0006373571785103475,0.0003493760042826332,0,0,6.5239002145375204,63550,418,0,602112,47176730,675915,314.94,127.42,0.02,0.08
