time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
10-6-2021 18:37:19,1623364639.085843,1000.0,52.7,4652.54,2212.76,6793.7,20.0,90695566,109743901,0.0,0.0,63.296,0,0,33.41,3.01,0.02,0.06,6.157594240351425,12886,221,0,405504,40758178,402439
10-6-2021 18:37:25,1623364645.3097832,1000.0,55.4,4665.61,2214.87,6803.48,20.1,90926628,110307468,0.000371247144129746,0.0009054826811668235,63.296,0,0,39.06,3.34,0.02,0.06,6.173414085990557,13897,224,0,405504,40834245,405379
10-6-2021 18:37:30,1623364650.3156376,1000.0,41.2,4673.43,2215.84,6813.9,19.8,91150693,110781486,0.00044760591003794757,0.0009469272678212476,62.809,0,0,42.87,3.51,0.02,0.06,6.182191548732269,14908,227,0,405504,40910390,408319
10-6-2021 18:37:35,1623364655.3245819,1000.0,39.6,4681.32,2216.75,6825.18,19.7,91363071,111304435,0.00042399753006837294,0.0010440303814506474,63.783,0,0,47.85,3.69,0.02,0.06,6.188927741068931,15919,230,0,405504,40986517,411259
10-6-2021 18:37:40,1623364660.327513,1000.0,74.4,4690.34,2218.19,6834.41,20.1,91580479,111799689,0.00043456124993864316,0.0009899276810288158,62.809,0,0,51.77,3.87,0.02,0.06,6.195561869885342,16936,233,0,405504,41062892,414199
10-6-2021 18:37:45,1623364665.3296835,1000.0,67.2,4702.49,2221.48,6838.24,21.6,91848050,114115649,0.0005349097889481266,0.004629910097926544,65.244,0,0,55.55,4.16,0.02,0.06,6.202298062222004,17955,236,0,405504,41140216,417139
10-6-2021 18:37:50,1623364670.332554,1000.0,93.0,4716.78,2224.71,6840.52,21.9,91987199,114370390,0.0002781383174713919,0.0005091896681325761,64.757,0,0,58.38,5.14,0.02,0.06,6.322324762038903,18968,236,0,405504,41214619,417139
10-6-2021 18:37:55,1623364675.3353345,1000.0,78.8,4730.68,2229.15,6841.98,22.3,92167367,114538528,0.0003601357330227608,0.00033608910505184583,65.731,0,0,63.91,7.85,0.02,0.06,6.362537789018373,19987,238,0,405504,41291250,419343
10-6-2021 18:38:0,1623364680.338749,1000.0,89.0,4745.33,2233.37,6843.01,22.8,92406397,114981208,0.0004777337658852938,0.000884755819278341,65.731,0,0,69.58,10.61,0.02,0.06,6.313343172256686,21005,240,0,405504,41367883,421545
10-6-2021 18:38:5,1623364685.3419452,1000.0,94.0,4759.25,2238.08,6844.19,23.0,92596660,115647629,0.0003802829049537749,0.0013319905278598551,65.731,0,0,75.09,13.53,0.02,0.06,6.404179705281379,22023,242,0,405504,41444524,423749
