time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
27-5-2021 14:58:41,1622141921.4962547,1000.0,71.0,4420.71,2399.92,9282.82,24.0,88439436,112019706,0.0,0.0,0,0,13563,305,0,602112,43393634,553189,36.23,4.44,0.02,0.07,6.262821729731716
27-5-2021 14:58:47,1622141927.999906,1000.0,87.7,4435.57,2405.07,9289.93,24.8,88904611,112505126,0.0007152520527037416,0.0007463807199945187,0,0,14606,308,0,602112,43473725,556129,41.01,4.72,0.02,0.07,6.252615377706469
27-5-2021 14:58:53,1622141933.0079787,1000.0,79.1,4448.91,2408.32,9294.22,24.1,89124296,112876022,0.0004386617705112581,0.0007405962903044977,0,0,15637,308,0,602112,43550519,556129,44.72,5.02,0.02,0.07,6.256391727955811
27-5-2021 14:58:58,1622141938.0111647,1000.0,77.9,4461.8,2412.49,9297.89,24.1,89592525,113271836,0.0009358616712878504,0.0007911238978344553,0,0,16674,311,0,602112,43630240,559069,48.02,5.41,0.02,0.07,6.279662210573372
27-5-2021 14:59:3,1622141943.0139885,1000.0,52.3,4472.35,2415.62,9304.2,23.8,89754181,113725865,0.00032312950746315035,0.0009075454492501775,0,0,17711,314,0,602112,43709963,562009,52.17,5.76,0.02,0.07,6.283132370261956
27-5-2021 14:59:8,1622141948.0166824,1000.0,75.6,4483.22,2419.1,9310.28,24.4,89917303,114183565,0.0003260683214624308,0.0009149070679206641,0,0,18748,317,0,602112,43789703,564949,56.71,6.08,0.02,0.07,6.289868562598619
27-5-2021 14:59:13,1622141953.0175092,1000.0,77.5,4496.84,2421.76,9313.98,24.4,90086307,115214035,0.0003379521138300532,0.002060599244624121,0,0,19785,320,0,602112,43869481,567889,59.49,6.32,0.02,0.07,6.289868562598619
27-5-2021 14:59:18,1622141958.0212345,1000.0,54.4,4508.06,2423.91,9320.35,24.2,90237265,116392461,0.0003016912225231207,0.0023550973157635303,0,0,20811,320,0,602112,43946006,567889,63.75,7.0,0.02,0.07,6.409180817773749
27-5-2021 14:59:23,1622141963.0247002,1000.0,53.6,4518.27,2429.34,9324.57,24.0,90365980,116557059,0.00025725169100854396,0.0003289679822602208,0,0,21847,321,0,602112,44023937,568991,68.85,11.26,0.02,0.07,6.394891924938404
27-5-2021 14:59:28,1622141968.0274475,1000.0,77.0,4528.72,2435.19,9328.35,23.7,90495265,116721424,0.0002584280042889871,0.00032854947538352755,0,0,22882,323,0,602112,44102961,571195,74.91,15.63,0.02,0.07,6.494403857184558
27-5-2021 14:59:33,1622141973.030954,1000.0,82.0,4536.77,2440.08,9334.82,23.9,90618460,116868044,0.0002462173316242124,0.00029303449947434574,0,0,23915,324,0,602112,44180852,572297,78.16,19.17,0.02,0.07,6.518082593883129
27-5-2021 14:59:38,1622141978.0347354,1000.0,57.4,4546.35,2444.88,9340.12,23.8,90752626,117038984,0.0002681292108167284,0.00034162162766283226,0,0,24952,327,0,602112,44260971,575601,83.47,23.18,0.02,0.07,6.399586846870017
27-5-2021 14:59:43,1622141983.0374925,1000.0,94.9,4556.35,2450.87,9343.77,23.8,90880937,117209361,0.0002564805728957669,0.00034056620685882016,0,0,25987,329,0,602112,44340002,577805,88.64,28.17,0.02,0.07,6.520123864288179
27-5-2021 14:59:48,1622141988.0421684,1000.0,78.3,4565.56,2456.54,9348.44,23.8,91009753,117371240,0.00025739129460192997,0.00032345551312620965,0,0,27022,331,0,602112,44419028,580009,93.23,32.65,0.02,0.07,6.517266085721109
27-5-2021 14:59:53,1622141993.0426137,1000.0,82.4,4575.14,2461.32,9353.56,23.9,91148429,117836041,0.0002773272975753846,0.0009295192047674892,0,0,28057,333,0,602112,44498082,582213,98.1,36.36,0.02,0.07,6.508080368898388
27-5-2021 14:59:58,1622141998.046396,1000.0,72.1,4585.0,2466.41,9358.1,23.7,91288775,118376313,0.0002804798297796429,0.0010797272355087227,0,0,29094,336,0,602112,44578221,585517,103.33,40.67,0.02,0.07,6.515224815316061
27-5-2021 15:0:3,1622142003.0510607,1000.0,93.2,4595.07,2472.13,9361.94,23.8,91417318,118545714,0.0002568463798188612,0.0003384862154119237,0,0,30130,338,0,602112,44657304,587721,108.83,44.94,0.02,0.07,6.5138979895527775
27-5-2021 15:0:8,1622142008.0605903,1000.0,70.5,4604.6,2478.4,9365.97,24.0,91622630,118790850,0.0004098428730413693,0.0004893393592477258,0,0,31168,341,0,602112,44737440,591027,115.33,49.32,0.02,0.07,6.51644957755909
27-5-2021 15:0:13,1622142013.0642958,1000.0,93.0,4614.63,2484.87,9369.49,23.9,91757423,118967634,0.00026938635768646415,0.0003533061646913703,0,0,32213,344,0,602112,44842081,594333,120.56,53.22,0.02,0.07,6.504712272730057
27-5-2021 15:0:18,1622142018.0694206,1000.0,58.0,4623.85,2490.43,9374.62,23.8,91888309,119133476,0.00026150396850762025,0.000331344384771792,0,0,33249,346,0,602112,44921166,596537,126.03,57.65,0.02,0.07,6.492668777340266
27-5-2021 15:0:23,1622142023.0739017,1000.0,77.7,4633.95,2496.71,9378.29,24.0,92039288,120186430,0.000301687622894654,0.0021040223426928087,0,0,34287,349,0,602112,45001324,599841,130.81,61.99,0.02,0.07,6.520736245409693
27-5-2021 15:0:28,1622142028.0783217,1000.0,74.7,4644.19,2502.28,9382.38,23.8,92170274,120353926,0.00026174061909211405,0.0003346961258107945,0,0,35323,351,0,602112,45080400,602045,136.52,66.76,0.02,0.07,6.507876241857883
27-5-2021 15:0:33,1622142033.0864215,1000.0,66.2,4652.74,2507.08,9388.86,24.0,92313179,121181661,0.00028534774838181613,0.0016527925440455028,0,0,36359,353,0,602112,45159486,604249,140.07,69.27,0.02,0.07,6.513489735471769
27-5-2021 15:0:38,1622142038.0874565,1000.0,96.0,4664.04,2512.41,9392.15,24.0,92446152,121357726,0.00026589096189758314,0.00035205712593156484,0,0,37395,355,0,602112,45238568,606453,146.48,73.87,0.02,0.07,6.516551641079342
27-5-2021 15:0:43,1622142043.0910974,1000.0,58.7,4674.01,2517.59,9396.65,23.8,92577055,121526549,0.00026161549734401984,0.0003374003125070431,0,0,38433,358,0,602112,45318694,609759,151.53,77.94,0.02,0.07,6.403261133599107
27-5-2021 15:0:48,1622142048.0948691,1000.0,73.2,4684.07,2522.8,9401.22,23.9,92707015,121692781,0.000259724075485507,0.0003322133927062696,0,0,39469,360,0,602112,45397746,611965,157.15,82.1,0.02,0.07,6.5111422745059615
