time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
23-6-2021 13:4:11,1624467851.974294,1000.0,59.7,230.31,70.51,1058.3,21.6,6323717,9594482,0.0,0.0,49.173,0,0,36.2,4.99,0.02,0.06,6.2190364795434085,13546,246,172437504,471040,43394101,449753
23-6-2021 13:4:18,1624467858.931771,1000.0,98.5,252.41,74.47,1059.76,22.6,7389525,10756763,0.001531888622546388,0.0016705495174570264,51.608,0,0,43.3,5.32,0.02,0.06,6.225466481319314,14585,252,172568576,471040,43475929,455633
23-6-2021 13:4:23,1624467863.9386213,1000.0,97.3,268.41,77.45,1060.54,22.9,8477053,11162948,0.0021720801448058815,0.0008112585364404199,52.582,0,0,46.91,5.58,0.02,0.06,6.229140768048403,15618,255,172830720,471040,43554771,458573
23-6-2021 13:4:28,1624467868.9455922,1000.0,93.3,284.5,80.14,1061.6,22.1,9441532,12114228,0.0019262724362692051,0.0018999111885009102,53.556,0,0,50.81,5.78,0.02,0.06,6.235876960385065,16645,255,172830720,471040,43630707,458573
23-6-2021 13:4:33,1624467873.9535995,1000.0,94.3,300.43,82.72,1062.75,22.4,12520253,12591633,0.006147596884273608,0.0009532833571267557,53.069,0,0,55.35,6.06,0.02,0.06,6.242613152721728,17678,258,172830720,471040,43709564,461513
23-6-2021 13:4:38,1624467878.9610722,1000.0,93.3,316.08,85.57,1063.98,22.4,18564664,13127744,0.01207078160484311,0.0010706219012826966,54.043,0,0,59.6,6.3,0.02,0.06,6.242613152721728,18711,261,172830720,471040,43788422,464453
23-6-2021 13:4:43,1624467883.9615395,1000.0,57.8,327.46,87.66,1069.84,22.1,19602965,14465301,0.002076407938741687,0.0026748640069878724,53.556,0,0,63.76,6.54,0.02,0.06,6.24934934505839,19744,264,172830720,471040,43867305,467393
23-6-2021 13:4:48,1624467888.9660141,1000.0,74.8,339.66,89.62,1074.77,22.0,20668253,15489328,0.0021286709927715143,0.002046222777985705,53.556,0,0,68.31,6.81,0.02,0.06,6.2559834738748,20777,267,172830720,471040,43946171,470333
23-6-2021 13:4:53,1624467893.967601,1000.0,89.7,351.73,92.53,1079.3,22.1,21703515,15773725,0.0020698670597710687,0.0005686135318380397,52.582,0,0,71.68,7.76,0.02,0.06,6.311506028892142,21811,267,174440448,471040,44022418,470333
23-6-2021 13:4:58,1624467898.9737334,1000.0,95.7,365.41,97.68,1080.22,22.0,22702992,15974512,0.001996505340395912,0.0004010820837118553,54.043,0,0,78.62,11.51,0.02,0.06,6.444188605220345,22848,269,174555136,471040,44100899,472537
