time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
27-5-2021 13:10:59,1622135459.3906026,1000.0,76.7,4276.57,1673.61,11916.35,27.2,93084087,123560147,0.0,0.0,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:7,1622135467.0705316,1000.0,78.8,4293.82,1676.17,11926.61,27.6,93390224,126313761,0.0003986195696362068,0.0035854680343252662,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:12,1622135472.0780396,1000.0,95.9,4308.7,1679.9,11927.4,27.7,99461796,126839502,0.012124937098727416,0.0010499054536818554,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:17,1622135477.0805886,1000.0,89.1,4323.26,1683.98,11928.86,27.9,103534931,127384145,0.008142119256659844,0.0010887309795292784,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:22,1622135482.083255,1000.0,85.5,4337.33,1687.46,11931.57,27.6,103692397,127684878,0.000314764137960484,0.0006011454123510488,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:27,1622135487.0881557,1000.0,89.9,4351.36,1690.91,11934.33,27.6,104682671,128089712,0.001978608688896167,0.0008088751900591056,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:32,1622135492.095882,1000.0,86.9,4366.05,1694.35,11936.53,27.6,104985925,133937295,0.0006055722464533536,0.011677122061481268,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:37,1622135497.106153,1000.0,96.1,4379.79,1699.26,11937.43,27.7,105146424,141161629,0.00032033995303075007,0.014419048182471235,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:42,1622135502.1245108,1000.0,96.6,4393.67,1704.97,11937.97,28.3,105284455,142964916,0.00027505213213775904,0.0035933807203186465,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:11:47,1622135507.1271205,1000.0,99.7,4408.25,1710.11,11938.18,28.5,105424638,144893227,0.00028021974044042296,0.0038546101018555206,0,0,1.79,0.35,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
