time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
22-6-2021 22:21:55,1624414915.8134208,1000.0,56.2,269.45,82.66,3251.26,19.0,11176827,18535928,0.0,0.0,58.426,0,0,6.237714103749609,48.42,5.05,0.04,0.06,13549,255,171347968,475136,43407421,460353
22-6-2021 22:22:2,1624414922.7493603,1000.0,57.0,284.64,85.14,3260.95,19.1,12054249,19328811,0.0012650369767848197,0.0011431515431161725,57.939,0,0,6.244042042005262,56.02,5.47,0.04,0.06,14568,261,171507712,475136,43509594,466233
22-6-2021 22:22:7,1624414927.7508996,1000.0,53.5,295.18,86.38,3268.55,19.2,12493299,19793525,0.0008778297635577426,0.0009291419672975124,58.426,0,0,6.23853061191163,60.33,5.77,0.04,0.06,15574,264,171769856,475136,43584345,469173
22-6-2021 22:22:12,1624414932.758682,1000.0,85.3,306.12,89.47,3274.09,19.0,12641506,20060716,0.00029595335102062154,0.0005335515313888743,59.887,0,0,6.431328601668534,65.34,8.42,0.04,0.06,16575,264,173494272,475136,43656184,469173
22-6-2021 22:22:17,1624414937.7626631,1000.0,96.3,319.7,94.55,3275.27,19.0,12792589,20275120,0.000301925599987574,0.0004284668449775012,60.861,0,0,6.428470823101465,73.65,12.63,0.04,0.06,17578,268,173494272,475136,43732143,473581
22-6-2021 22:22:22,1624414942.7668207,1000.0,87.2,332.02,99.91,3277.44,19.0,12943114,20491197,0.000300799882300017,0.0004317949587626027,59.4,0,0,6.442453525376053,80.85,17.08,0.04,0.06,18583,273,173494272,475136,43809162,479091
22-6-2021 22:22:27,1624414947.7711694,1000.0,94.0,345.02,105.14,3278.98,19.0,13092431,20700560,0.0002983744884972482,0.00041836212912963274,61.348,0,0,6.440004000889994,89.18,21.34,0.04,0.06,19586,277,173494272,475136,43885096,483497
22-6-2021 22:22:32,1624414952.7748435,1000.0,95.8,357.55,110.5,3280.99,19.0,13238503,20910349,0.0002919294884425688,0.00041926991792320267,60.374,0,0,6.442759715936811,97.11,26.36,0.04,0.06,20589,281,173494272,475136,43961025,487903
22-6-2021 22:22:37,1624414957.7772565,1000.0,98.3,370.88,115.25,3283.03,19.0,13383392,21107129,0.0002896382186007281,0.00039337015685284103,61.835,0,0,6.443270033538074,104.5,29.62,0.04,0.06,21590,284,173494272,475136,44035858,491209
22-6-2021 22:22:42,1624414962.780968,1000.0,86.8,384.23,119.78,3284.89,19.1,13531972,21309997,0.00029693958400229625,0.00040543504864300607,62.322,0,0,6.43816685752545,113.22,33.69,0.04,0.06,22593,288,173494272,475136,44111813,495617
22-6-2021 22:22:47,1624414967.7844777,1000.0,98.5,397.23,125.35,3286.26,19.0,13679259,21515145,0.00029436736824284065,0.00041000819393620803,61.348,0,0,6.452047496279785,121.31,38.16,0.04,0.06,23594,291,173494272,475136,44186662,498923
