time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
26-5-2021 19:46:53,1622072813.3084073,1500.0,41.6,8331.62,3300.76,22807.27,11.0,230889554,246531347,0.0,0.0,0,0,13114,282,0,561152,43087667,523428,20.87,3.22,0.0,0.02,3.0333768172732096
26-5-2021 19:46:59,1622072819.452373,1500.0,46.9,8339.46,3301.9,22822.49,11.1,231158076,247033255,0.0004370499644496668,0.0008169121098345884,0,0,14156,285,0,561152,43165485,526554,23.77,3.35,0.0,0.02,3.0337736288918538
26-5-2021 19:47:4,1622072824.4537013,1500.0,59.5,8347.9,3303.1,22832.76,11.1,231794770,247414226,0.0012730498194320652,0.0007617396469243519,0,0,15203,288,0,561152,43243585,529680,26.44,3.58,0.0,0.02,3.041065042384441
26-5-2021 19:47:9,1622072829.4593945,1500.0,65.7,8358.06,3304.51,22840.74,11.2,232727591,247812050,0.0018635201224725475,0.0007947430741830627,0,0,16244,288,0,561152,43318539,529680,28.62,3.73,0.0,0.02,3.0443387382382556
26-5-2021 19:47:14,1622072834.461926,1500.0,56.7,8366.25,3305.84,22850.83,11.1,233226057,248227545,0.0009964275030809539,0.0008305694779435728,0,0,17291,291,0,561152,43396689,532806,31.62,3.86,0.0,0.02,3.0476124340920703
26-5-2021 19:47:19,1622072839.4650607,900.0,22.0,8372.24,3306.65,22863.84,11.1,233439609,248518568,0.0004268363968436384,0.0005816813175181042,0,0,18338,294,0,561152,43474838,535932,33.06,3.92,0.0,0.02,3.0476124340920703
26-5-2021 19:47:24,1622072844.4743395,1500.0,30.5,8377.86,3307.26,22877.5,11.1,233644546,248875235,0.0004091147832558274,0.0007120126790160205,0,0,19379,294,0,561152,43549824,535932,34.92,3.97,0.0,0.02,3.045876383260502
26-5-2021 19:47:29,1622072849.479407,1500.0,38.2,8384.82,3308.36,22888.83,11.1,234049362,249192449,0.0008088122547228749,0.000633785647231488,0,0,20426,297,0,561152,43627959,539058,36.74,4.14,0.0,0.02,3.0491500791143165
26-5-2021 19:47:34,1622072854.4817493,1500.0,40.0,8393.27,3309.56,22898.78,11.1,234617116,249588493,0.001134976326214374,0.0007917171242109181,0,0,21478,300,0,561152,43706379,542184,39.41,4.27,0.0,0.02,3.042652288859018
26-5-2021 19:47:39,1622072859.4906845,1500.0,46.9,8401.22,3310.5,22909.64,11.2,235182638,249957747,0.001129026381739214,0.0007371906089643404,0,0,22524,300,0,561152,43781675,542184,41.49,4.39,0.0,0.02,3.0556974708219458
26-5-2021 19:47:44,1622072864.4919434,1500.0,53.2,8409.23,3311.55,22920.06,11.2,235888851,250373162,0.001412070482986919,0.0008306208745661874,0,0,23576,303,0,561152,43860117,545310,43.43,4.5,0.0,0.02,3.045876383260502
26-5-2021 19:47:49,1622072869.4967923,1500.0,89.4,8417.8,3314.59,22928.08,11.1,236231865,250656055,0.0006853633405180237,0.0005652378371995466,0,0,24628,303,0,561152,43935745,545310,48.2,6.72,0.0,0.02,3.150436244773247
26-5-2021 19:47:54,1622072874.5006576,1500.0,79.8,8427.41,3319.02,22933.82,11.2,236699952,250846571,0.0009354508512153672,0.000380737671352007,0,0,25685,306,0,561152,44014865,548802,53.65,10.59,0.0,0.02,3.1383830918569298
26-5-2021 19:47:59,1622072879.5046198,1500.0,62.7,8436.16,3324.48,22939.32,11.1,236867111,251033363,0.00033405327758502073,0.0003732881856595289,0,0,26742,309,0,561152,44094024,552292,58.92,15.37,0.0,0.02,3.138779903475574
26-5-2021 19:48:4,1622072884.5098255,1500.0,74.2,8445.19,3330.13,22944.56,11.1,237007587,251222731,0.0002806597977169346,0.00037834209810971603,0,0,27799,312,0,561152,44173143,555784,64.37,20.51,0.0,0.02,3.1451288893738805
26-5-2021 19:48:9,1622072889.5123475,1500.0,71.2,8454.31,3335.6,22949.69,11.1,237147097,251409743,0.00027887933372535003,0.00037383543802340454,0,0,28856,315,0,561152,44252254,559274,70.11,25.18,0.0,0.02,3.1483529837753648
26-5-2021 19:48:14,1622072894.5210693,1500.0,66.5,8462.92,3340.72,22955.87,11.1,237287453,251592639,0.0002802231882842153,0.0003651550360827456,0,0,29913,318,0,561152,44331378,562764,75.03,29.63,0.0,0.02,3.1056461333187837
26-5-2021 19:48:19,1622072899.5239215,1500.0,51.5,8470.25,3344.77,22964.24,11.1,237421164,251758018,0.00026726953868621336,0.00033056942987777575,0,0,30968,320,0,561152,44409337,565092,78.84,33.0,0.0,0.02,3.098106712564544
26-5-2021 19:48:24,1622072904.5269685,1500.0,84.0,8477.31,3349.29,22972.54,11.1,237546394,251905459,0.0002503074631605534,0.0002947024089743284,0,0,32021,321,0,561152,44486132,566256,82.51,37.21,0.0,0.02,3.1543051580550276
26-5-2021 19:48:29,1622072909.53079,1500.0,64.2,8485.23,3353.93,22979.97,11.1,237685634,252083103,0.00027826731409179794,0.00035501665286213267,0,0,33061,324,0,561152,44564307,569748,86.94,40.62,0.0,0.02,3.137143055548666
26-5-2021 19:48:34,1622072914.5317242,1500.0,63.2,8494.82,3359.42,22984.64,11.1,237824823,252269009,0.0002783260018007729,0.00037174254927310697,0,0,34095,327,0,561152,44642134,573240,93.1,45.61,0.0,0.02,3.151477875272188
26-5-2021 19:48:39,1622072919.5340824,1500.0,91.2,8505.32,3364.72,22988.81,11.1,237959597,252445208,0.0002694209304112102,0.0003522318734883941,0,0,35127,329,0,561152,44718805,575568,99.88,50.53,0.0,0.02,3.141359178996761
26-5-2021 19:48:44,1622072924.537833,1500.0,66.8,8514.23,3369.98,22994.4,11.2,238098514,252627353,0.0002776257494456992,0.00036401694632612916,0,0,36161,332,0,561152,44796641,579058,105.4,55.15,0.0,0.02,3.150039433154603
