time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
29-5-2021 18:40:25,1622328025.6093514,1500.0,56.9,215.01,71.25,1637.14,10.8,12136497,13183260,0.0,0.0,0,0,39.38,4.34,0.02,0.07,3.030946346109014,13579,333,172974080,643072,43399645,598739
29-5-2021 18:40:31,1622328031.745274,1500.0,30.7,219.93,72.05,1655.6,10.6,12285696,13392415,0.00024315658461702852,0.00034086968046417605,0,0,40.31,4.42,0.02,0.07,3.030946346109014,14604,333,173105152,643072,43473371,598739
29-5-2021 18:40:36,1622328036.7548242,1500.0,52.3,227.77,72.86,1666.98,10.7,12534478,14089705,0.0004966154550843782,0.001391921403782372,0,0,45.19,4.63,0.02,0.07,3.0462235934268156,15635,336,173756416,643072,43550187,601865
29-5-2021 18:40:41,1622328041.755823,1500.0,86.1,239.4,77.58,1669.97,10.9,13123101,14356708,0.0011770108955039375,0.0005338993551598184,0,0,51.11,7.95,0.02,0.07,3.1432936356376513,16673,338,175116288,643072,43627542,604193
29-5-2021 18:40:46,1622328046.758787,1500.0,96.4,253.65,82.13,1671.06,11.2,13472938,14601114,0.0006992594762168728,0.0004885224019879573,0,0,60.11,11.55,0.02,0.07,3.1401191426884982,17722,343,175116288,643072,43708973,610013
29-5-2021 18:40:51,1622328051.7615035,1500.0,91.9,266.98,86.67,1673.0,11.2,13748470,14786705,0.0005507647649549534,0.00037098044326159846,0,0,66.35,13.92,0.02,0.07,3.14121037463977,18765,345,175116288,643072,43786907,612341
29-5-2021 18:40:56,1622328056.765363,1500.0,83.6,279.47,91.89,1675.18,11.1,14051204,14982432,0.0006050009973151904,0.00039115206815722804,0,0,72.18,16.73,0.02,0.07,3.1390775121895564,19810,348,175116288,643072,43866009,615833
29-5-2021 18:41:1,1622328061.7687397,1500.0,94.1,292.44,96.61,1677.41,11.3,14455388,15246420,0.0008078224415836264,0.0005276196749717415,0,0,78.24,19.12,0.02,0.07,3.1307444681980288,20855,351,175116288,643072,43945090,619325
29-5-2021 18:41:6,1622328066.7696187,1500.0,89.6,305.92,101.9,1678.75,11.2,14814956,15442229,0.0007190095910242983,0.0003915491617965916,0,0,84.69,21.73,0.02,0.07,3.130794069650359,21900,354,175116288,643072,44024222,622817
29-5-2021 18:41:11,1622328071.7730675,1500.0,47.4,314.72,104.89,1687.62,11.2,14934310,15576435,0.00023854346584923223,0.0002682269917871379,0,0,86.97,22.7,0.02,0.07,3.144434469041254,22939,354,175116288,643072,44099832,622817
29-5-2021 18:41:16,1622328076.776475,1500.0,84.7,327.52,110.03,1689.94,11.2,15065560,15757114,0.00026232122921905523,0.0003611119038024357,0,0,94.13,24.97,0.02,0.07,3.0889800453357275,23982,356,175116288,643072,44177782,625145
29-5-2021 18:41:21,1622328081.7796254,1500.0,91.7,340.54,115.14,1691.84,11.2,15201338,15947854,0.00027138500231263356,0.0003812397836255632,0,0,101.54,27.88,0.02,0.07,3.144236063231932,25029,360,175116288,643072,44258080,629801
29-5-2021 18:41:26,1622328086.7812073,1500.0,95.8,353.84,120.37,1693.62,11.2,15333822,16127105,0.0002648841955529454,0.0003583886124895159,0,0,108.56,30.57,0.02,0.07,3.147261751824093,26072,362,175116288,643072,44336025,632129
29-5-2021 18:41:31,1622328091.7842858,1500.0,88.0,366.67,125.73,1695.66,11.2,15457071,16298717,0.0002463463265033812,0.00034301280970959805,0,0,113.72,32.91,0.02,0.07,3.14408725887494,27117,365,175116288,643072,44415175,635619
29-5-2021 18:41:36,1622328096.7943912,1500.0,85.9,378.8,129.9,1699.25,11.2,15587687,16465211,0.0002607050956326299,0.0003323163639390204,0,0,119.85,35.29,0.02,0.07,3.0976602994935694,28160,367,175116288,643072,44493125,637947
29-5-2021 18:41:41,1622328101.8244615,1500.0,88.6,392.72,134.5,1700.6,11.3,15804772,16657453,0.0004315744847339352,0.00038218551302126436,0,0,126.86,37.86,0.02,0.07,3.1424504109480327,29205,370,175116288,643072,44572224,641437
29-5-2021 18:41:46,1622328106.826137,1500.0,95.3,406.19,139.25,1702.16,11.3,16209951,16839130,0.0008100865228689802,0.0003632322731811563,0,0,132.23,40.49,0.02,0.07,3.134117366956504,30250,373,175116288,643072,44651356,644929
29-5-2021 18:41:51,1622328111.8363616,1500.0,97.1,419.17,144.49,1703.94,11.5,16575661,17030421,0.0007299273597515609,0.0003818012484598065,0,0,137.51,43.08,0.02,0.07,3.1435912443516347,31293,375,175116288,643072,44729343,647255
29-5-2021 18:41:56,1622328116.8388088,1500.0,82.5,432.54,149.16,1705.51,11.4,16852952,17211831,0.0005543107061172682,0.00036264251344880874,0,0,141.86,44.97,0.02,0.07,3.1477577663473983,32338,378,175116288,643072,44808508,650747
29-5-2021 18:42:1,1622328121.8425753,1500.0,96.0,444.98,153.34,1708.67,11.2,17229388,17399577,0.0007523052829065629,0.0003752093520401225,0,0,147.51,47.56,0.02,0.07,3.1395735267128617,33383,381,175116288,643072,44887648,654241
29-5-2021 18:42:6,1622328126.863684,1500.0,94.2,458.38,158.1,1710.19,11.2,17713350,17600610,0.0009638548693545735,0.0004003757236125108,0,0,154.0,49.94,0.02,0.07,3.144781679207567,34426,383,175116288,643072,44965619,656569
29-5-2021 18:42:11,1622328131.867651,1500.0,93.2,471.44,163.06,1711.94,11.2,18151379,17819780,0.0008753634784337207,0.000437992492662172,0,0,159.81,52.17,0.02,0.07,3.157826861170495,35473,387,175116288,643072,45045946,661229
29-5-2021 18:42:16,1622328136.8965538,1500.0,90.8,485.13,168.06,1713.19,11.2,18574840,18018039,0.0008420544588829516,0.0003942390797822588,0,0,166.43,54.84,0.02,0.07,3.1322325117679446,36518,390,175116288,643072,45125096,664724
29-5-2021 18:42:21,1622328141.9050906,1500.0,91.8,497.95,173.21,1714.97,11.3,18967479,18214744,0.0007839395305504374,0.00039273945114194923,0,0,172.61,57.73,0.02,0.07,3.1322325117679446,37557,393,175116288,643072,45203925,668217
29-5-2021 18:42:26,1622328146.9101942,1500.0,94.6,511.99,177.54,1716.39,11.2,19351889,18407444,0.0007680360520682062,0.00038500701655405254,0,0,179.53,59.87,0.02,0.07,3.1012812055136973,38596,396,175116288,643072,45282767,671712
29-5-2021 18:42:31,1622328151.9134948,1500.0,82.5,524.96,182.55,1718.17,11.3,19732901,18604829,0.000761521294387841,0.00039450957107058045,0,0,185.73,62.3,0.02,0.07,3.1317364972446393,39629,399,175116288,643072,45361258,675207
