time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
14-6-2021 20:4:16,1623715456.6680474,1500.0,69.8,6593.56,2689.85,5329.51,11.4,382841365,195418744,0.0,0.0,64.27,0,0,3.002673518280615,12920,230,1024000,438272,40775876,423464,47.15,5.4,0.03,0.18
14-6-2021 20:4:26,1623715466.5334945,1500.0,89.9,6620.97,2696.6,5333.59,11.6,383780342,195998907,0.0009517835286902793,0.0005880757327980754,63.296,0,0,3.007633663513668,13981,233,1024000,438272,40856781,426590,54.79,5.96,0.03,0.18
14-6-2021 20:4:31,1623715471.5365517,1500.0,81.5,6632.49,2700.26,5337.5,11.4,384008911,196247361,0.00045685865455782914,0.0004966043521191013,62.322,0,0,3.007633663513668,15042,236,1024000,438272,40937709,429716,58.52,6.45,0.03,0.18
14-6-2021 20:4:36,1623715476.5425704,1500.0,73.7,6644.54,2703.63,5341.84,11.5,384248214,196564713,0.00047803058133720033,0.0006339409077551188,63.783,0,0,3.011056163724474,16097,236,1024000,438272,41015485,429716,61.24,6.68,0.03,0.18
14-6-2021 20:4:41,1623715481.545182,1500.0,85.2,6656.25,2706.62,5346.47,11.5,384558434,197034625,0.0006201160963573694,0.0009393333604264207,62.809,0,0,3.0126434101990505,17158,239,1024000,438272,41096384,432842,67.22,7.17,0.03,0.18
14-6-2021 20:4:46,1623715486.5518,1500.0,74.7,6667.74,2709.78,5350.59,11.4,384778939,197222595,0.00044042704873948523,0.00037544306184241193,62.809,0,0,3.0045583734691754,18213,239,1024000,438272,41174172,432842,69.79,7.39,0.03,0.18
14-6-2021 20:4:51,1623715491.5586371,1500.0,73.7,6679.89,2713.13,5354.58,11.5,385145238,197617088,0.0007315975944873279,0.0007879085933679574,63.783,0,0,3.0176035554321032,19274,242,1024000,438272,41255083,435968,75.66,7.88,0.03,0.18
14-6-2021 20:4:56,1623715496.559561,1500.0,86.0,6692.24,2716.43,5358.04,11.5,385517716,197923068,0.0007448183766322398,0.0006118469463483286,62.809,0,0,3.020877251285918,20335,245,1024000,438272,41336025,439094,79.39,8.2,0.03,0.18
14-6-2021 20:5:1,1623715501.5607135,1500.0,79.1,6703.88,2719.53,5362.48,11.5,385970664,198386182,0.0009056872363004553,0.0009260145507918107,64.27,0,0,3.0232085195454523,21391,248,1024000,438272,41416650,442220,83.34,8.57,0.03,0.18
14-6-2021 20:5:6,1623715506.5656028,1500.0,82.0,6715.64,2723.13,5366.46,11.5,386284270,198739560,0.0006265992799189901,0.0007060655738066648,63.296,0,0,3.023059715188461,22441,248,1024000,438272,41494146,442220,87.77,8.96,0.03,0.18
14-6-2021 20:5:11,1623715511.570397,1500.0,83.2,6727.42,2727.08,5370.12,11.5,386591122,199080515,0.0006131161294436048,0.0006812567945277993,62.809,0,0,3.0263334110422755,23497,251,1024000,438272,41574774,445346,92.29,9.47,0.03,0.18
14-6-2021 20:5:16,1623715516.584073,1500.0,71.5,6739.22,2730.4,5374.16,11.5,386924030,199361783,0.0006639998056159143,0.0005610015299301218,63.783,0,0,3.0828294652467423,24547,251,1024000,438272,41652271,445346,95.1,10.22,0.03,0.18
14-6-2021 20:5:21,1623715521.5861807,1500.0,95.2,6752.2,2735.15,5375.97,11.6,387153624,199520544,0.00045899452277081996,0.00031738821323561655,63.783,0,0,3.100189973562426,25599,251,1024000,438272,41729787,445346,100.02,11.78,0.03,0.18
14-6-2021 20:5:26,1623715526.6341128,1500.0,95.0,6765.32,2740.39,5377.4,11.6,387420917,199673036,0.0005295098907123285,0.0003020880541372367,63.296,0,0,3.112391930835735,26651,252,1024000,438272,41808451,446510,104.85,14.24,0.03,0.18
14-6-2021 20:5:31,1623715531.6349528,1500.0,92.2,6778.62,2745.36,5378.84,11.6,387713449,199825625,0.0005849657317641732,0.0003051267418407676,62.322,0,0,3.1172528731641265,27705,254,1024000,438272,41888286,448838,110.78,16.48,0.03,0.18
14-6-2021 20:5:36,1623715536.6387105,1500.0,84.9,6790.91,2750.81,5380.75,11.6,388000316,199987544,0.0005733031380139238,0.00032359480457520916,63.783,0,0,3.136101425049725,28759,256,1024000,438272,41968110,451166,114.94,18.24,0.03,0.18
14-6-2021 20:5:41,1623715541.6409657,1500.0,97.0,6804.53,2755.87,5381.9,11.7,388323593,200211167,0.0006462625095845147,0.000447044364989832,63.783,0,0,3.101330806966028,29800,257,1024000,438272,42046146,452330,121.35,20.78,0.03,0.18
14-6-2021 20:5:46,1623715546.6479118,1500.0,91.4,6817.3,2760.52,5383.99,11.6,388575971,200359588,0.0005040557569835683,0.00029643019402348134,63.296,0,0,3.113631967143998,30843,259,1024000,438272,42125359,454658,126.86,22.72,0.03,0.18
14-6-2021 20:5:51,1623715551.655286,1500.0,89.2,6830.15,2765.63,5385.68,11.6,388927580,200514749,0.0007021823811679113,0.0003098649933431576,63.296,0,0,3.1021244302033164,31879,260,1024000,438272,42203094,455822,131.81,24.51,0.03,0.18
14-6-2021 20:5:56,1623715556.6720073,1500.0,95.0,6842.89,2771.27,5387.08,11.6,389134558,200663178,0.00041257624201595556,0.0002958685417106469,62.809,0,0,3.1040092853918764,32917,262,1024000,438272,42281969,458148,137.56,27.26,0.03,0.18
14-6-2021 20:6:1,1623715561.67456,1500.0,95.5,6856.11,2775.97,5388.76,11.6,389376396,200815859,0.0004834291854491899,0.0003052061771250497,62.322,0,0,3.1163104455698463,33941,263,1024000,438272,42359057,459312,143.35,29.56,0.03,0.18
14-6-2021 20:6:6,1623715566.6805794,1500.0,90.6,6869.31,2780.69,5390.36,11.6,389674845,200975770,0.0005961802759901083,0.0003194374386037622,63.296,0,0,3.110606278551836,34965,264,1024000,438272,42436127,460476,149.26,31.23,0.03,0.18
14-6-2021 20:6:11,1623715571.6809444,1500.0,86.9,6881.58,2786.22,5392.22,11.6,389956613,201133435,0.0005634948627512516,0.0003153069814019906,63.296,0,0,3.1347125843844705,35996,266,1024000,438272,42514701,462804,153.48,33.23,0.03,0.18
