time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
14-6-2021 19:11:27,1623712287.1349578,1500.0,46.8,265.61,86.82,1804.63,12.4,7737569,11866129,0.0,0.0,57.939,0,0,12917,284,1589248,548864,40786080,529604,28.37,3.07,0.02,0.07,3.006988844633371
14-6-2021 19:11:34,1623712294.6281068,1500.0,60.7,281.51,88.98,1814.9,12.3,8502739,13253594,0.0010211594560549972,0.0018516447386794394,57.939,0,0,13965,290,1720320,548864,40868194,535856,33.54,3.27,0.02,0.07,3.0159171060528656
14-6-2021 19:11:39,1623712299.6364489,1500.0,65.5,290.73,90.4,1823.91,12.5,8845137,13760441,0.0006836553855721577,0.0010120055643172315,56.965,0,0,15007,293,1982464,548864,40947176,538982,38.28,3.64,0.02,0.07,3.0094193157975666
14-6-2021 19:11:44,1623712304.6444526,1500.0,67.3,304.99,93.01,1826.72,12.4,9380063,14132738,0.0010681421795879,0.0007434040017386262,56.965,0,0,16049,296,1982464,548864,41026161,542108,40.14,3.82,0.02,0.07,3.0094193157975666
14-6-2021 19:11:49,1623712309.6498644,1500.0,81.7,318.26,94.83,1831.32,12.3,9888610,14601941,0.001015994315524669,0.0009373913931792367,59.4,0,0,17091,299,1982464,548864,41105160,545234,43.42,3.99,0.02,0.07,3.0118993884140925
14-6-2021 19:11:54,1623712314.6569786,1500.0,47.1,326.66,95.83,1841.01,12.0,10518339,15196661,0.0012576685459336227,0.0011877500284053046,58.426,0,0,18133,302,1982464,548864,41184171,548360,47.97,4.19,0.02,0.07,3.017801961241425
14-6-2021 19:11:59,1623712319.6602986,1500.0,56.6,335.52,99.39,1847.8,12.0,11113196,15434961,0.0011889245591542139,0.00047628374961788993,58.913,0,0,19172,303,3731456,548864,41261218,549524,52.0,7.1,0.02,0.07,3.0784645374416564
14-6-2021 19:12:4,1623712324.661456,1500.0,45.3,342.96,104.14,1855.1,12.1,11531763,16665366,0.000836940244617099,0.0024602404434131255,59.4,0,0,20215,304,3731456,548864,41338568,550688,54.88,10.45,0.02,0.07,3.1259827287742987
14-6-2021 19:12:9,1623712329.665334,1500.0,63.4,350.69,107.75,1863.39,12.1,11981030,16821782,0.0008978376589849763,0.00031258956315018474,59.887,0,0,21260,306,3731456,548864,41417061,553016,58.48,13.49,0.02,0.07,3.073802000922587
14-6-2021 19:12:14,1623712334.6690822,1500.0,83.2,360.6,112.71,1868.14,12.1,12616005,16995364,0.001268998713265836,0.0003469039484170406,59.887,0,0,22303,307,3731456,548864,41494451,554180,63.87,17.37,0.02,0.07,3.118492909472389
14-6-2021 19:12:19,1623712339.675138,1500.0,84.5,370.24,118.4,1872.49,12.1,13122507,17174066,0.001011778567812803,0.0003569716479407456,60.861,0,0,23348,309,3731456,548864,41572935,556508,69.09,21.58,0.02,0.07,3.1257843229649764
14-6-2021 19:12:24,1623712344.6790636,1500.0,65.6,379.44,122.99,1878.12,12.1,13380128,17352555,0.0005148377944733617,0.00035669795202159714,61.348,0,0,24373,312,3731456,548864,41651386,560000,74.65,25.33,0.02,0.07,3.071817942829366
