time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
26-5-2021 21:11:32,1622077892.797538,1500.0,64.2,16235.34,7577.58,30698.41,13.9,678584234,513528331,0.0,0.0,0,0,2183.4,1696.83,0.0,0.02,3.311343356133468,515411,1619,155648,1208320,84089609,2308019
26-5-2021 21:11:40,1622077900.8997922,1500.0,84.1,16257.23,7583.23,30703.77,14.1,680160432,514769594,0.0019453820756202228,0.0015319971166887565,0,0,2189.32,1697.49,0.0,0.02,3.3112937546811367,516478,1625,155648,1208320,84174977,2314277
26-5-2021 21:11:45,1622077905.9018726,1500.0,70.9,16269.1,7587.23,30707.99,13.9,681206638,515156491,0.0020915417343647926,0.0007734721674321645,0,0,2194.03,1699.98,0.0,0.02,3.369773866978825,517533,1625,155648,1208320,84254093,2314277
26-5-2021 21:11:50,1622077910.9055386,1500.0,90.3,16281.01,7592.74,30710.79,13.7,682301421,515918425,0.002187961819619252,0.0015227515416934452,0,0,2200.79,1703.74,0.0,0.02,3.3675914030762826,518596,1629,155648,1208320,84337845,2318937
26-5-2021 21:11:55,1622077915.9398072,1500.0,86.6,16293.81,7597.63,30713.47,13.7,683372250,516335247,0.002127079584609287,0.0008279693271437477,0,0,2208.54,1707.29,0.0,0.02,3.33520165470445,519659,1633,155648,1208320,84421614,2323597
26-5-2021 21:12:0,1622077920.9648418,1500.0,86.2,16306.03,7602.95,30716.44,13.7,684463703,516680826,0.0021720307869149006,0.0006877146586351079,0,0,2215.8,1711.2,0.0,0.02,3.383116657655736,520722,1637,155648,1208320,84505388,2328257
26-5-2021 21:12:5,1622077925.96857,1500.0,88.0,16318.77,7608.23,30718.52,13.8,685753909,517023377,0.00257848940026703,0.0006845915478232711,0,0,2223.72,1715.09,0.0,0.02,3.3860431433432367,521785,1641,155648,1208320,84589130,2332915
26-5-2021 21:12:10,1622077930.9746966,1500.0,91.5,16331.65,7613.06,30720.77,13.8,687036438,517937333,0.002561918808009652,0.0018256749485534203,0,0,2231.68,1718.61,0.0,0.02,3.3873327811038307,522848,1645,155648,1208320,84672908,2337575
26-5-2021 21:12:15,1622077935.9786284,1500.0,77.9,16344.07,7617.52,30724.04,13.8,688459041,518272746,0.0028429704240730577,0.0006702989090066706,0,0,2238.72,1721.21,0.0,0.02,3.3373841186069924,523911,1649,155648,1208320,84756664,2342235
26-5-2021 21:12:20,1622077940.9817157,1500.0,77.5,16354.59,7622.83,30728.54,13.8,689276058,518606597,0.0016330256777848417,0.0006672899775086041,0,0,2244.79,1725.2,0.0,0.02,3.37686687466209,524970,1651,155648,1208320,84838128,2344565
26-5-2021 21:12:25,1622077945.9854505,1500.0,45.2,16363.94,7627.67,30734.57,13.8,690084436,519391528,0.0016155492406018245,0.0015686902426523615,0,0,2249.5,1728.48,0.0,0.02,3.371509917810393,526031,1654,155648,1208320,84920715,2348060
26-5-2021 21:12:30,1622077950.9958363,1500.0,96.0,16376.0,7632.77,30737.44,13.8,691025106,519684058,0.0018774402742868324,0.0005838472614595205,0,0,2256.5,1732.15,0.0,0.02,3.3722043381430207,527097,1657,155648,1208320,85003594,2351555
26-5-2021 21:12:35,1622077955.9969344,1500.0,73.8,16388.27,7637.75,30740.12,13.8,692333139,520011167,0.002615491556463763,0.0006540743448699727,0,0,2262.78,1735.27,0.0,0.02,3.3835630707267113,528163,1660,155648,1208320,85086531,2355050
26-5-2021 21:12:41,1622077961.000667,1500.0,90.0,16401.42,7642.55,30742.2,13.8,693696401,520360771,0.0027244900693871345,0.0006986864052676739,0,0,2270.71,1738.52,0.0,0.02,3.3839102808930246,529233,1665,155648,1208320,85171762,2360875
26-5-2021 21:12:46,1622077966.0017362,1500.0,92.9,16414.17,7647.3,30744.64,13.7,695110557,520705629,0.002827707397187758,0.0006895685607382607,0,0,2278.73,1742.17,0.0,0.02,3.336838502631357,530301,1669,155648,1208320,85255863,2365535
26-5-2021 21:12:51,1622077971.0061069,1500.0,84.6,16427.28,7652.55,30746.39,13.8,696222195,521514404,0.0022213342475935513,0.001616137273192779,0,0,2286.21,1745.28,0.0,0.02,3.3259261831186415,531367,1672,155648,1208320,85338791,2369030
26-5-2021 21:12:56,1622077976.0098627,1500.0,88.6,16439.4,7658.3,30748.4,13.8,697377226,522406931,0.0023083280726486,0.0017837141424748228,0,0,2292.17,1749.4,0.0,0.02,3.361887236058272,532435,1676,155648,1208320,85422889,2373690
26-5-2021 21:13:1,1622077981.0160446,1500.0,95.2,16451.69,7663.09,30751.21,13.8,698694688,522741997,0.002631670226439412,0.0006693044779220561,0,0,2299.33,1752.99,0.0,0.02,3.3721547366906903,533503,1680,155648,1208320,85506989,2378348
26-5-2021 21:13:6,1622077986.021736,1500.0,68.3,16464.18,7667.53,30754.24,13.8,700084512,523082061,0.002776487640785542,0.0006793547190695329,0,0,2306.86,1756.12,0.0,0.02,3.371757925072046,534571,1684,155648,1208320,85591045,2383008
26-5-2021 21:13:11,1622077991.0255966,1500.0,92.7,16474.29,7672.99,30758.5,13.8,701559611,523438100,0.002947921784567952,0.0007115285985929005,0,0,2313.58,1760.58,0.0,0.02,3.371361113453402,535641,1689,155648,1208320,85676290,2388833
26-5-2021 21:13:16,1622077996.0292294,1500.0,89.6,16485.13,7678.46,30761.86,13.8,702977436,523794522,0.0028335912350821997,0.0007123264543864495,0,0,2320.67,1764.93,0.0,0.02,3.351718938330514,536709,1693,155648,1208320,85760346,2393493
26-5-2021 21:13:21,1622078001.034892,1500.0,58.7,16494.04,7683.84,30767.64,13.8,703845300,524617013,0.0017337644494591186,0.001643121106302462,0,0,2326.47,1768.51,0.0,0.02,3.3419970536737313,537775,1696,155648,1208320,85843243,2396988
26-5-2021 21:13:26,1622078006.0374575,1500.0,71.4,16504.65,7688.6,30772.14,13.9,704677784,524976029,0.0016641141816504212,0.0007176637833753053,0,0,2330.34,1771.43,0.0,0.02,3.381777418442812,538839,1698,155648,1208320,85924965,2399318
26-5-2021 21:13:31,1622078011.0413003,1500.0,85.0,16515.54,7693.63,30776.01,13.8,705836190,525309024,0.0023150327442392517,0.0006654785357361319,0,0,2336.7,1775.12,0.0,0.02,3.365706547887722,539896,1702,155648,1208320,86008395,2403978
26-5-2021 21:13:36,1622078016.0418658,1500.0,94.5,16527.38,7698.92,30778.83,13.8,707288404,525651587,0.00290409952957515,0.0006850485170573015,0,0,2343.83,1779.33,0.0,0.02,3.318981979792368,540953,1706,155648,1208320,86091833,2408638
26-5-2021 21:13:41,1622078021.050075,1500.0,79.5,16538.53,7703.78,30782.79,14.0,708746502,526564750,0.002911415904307503,0.0018233323695836304,0,0,2349.42,1782.5,0.0,0.02,3.3973522744745965,542004,1710,155648,1208320,86174947,2413298
26-5-2021 21:13:46,1622078026.051746,1500.0,93.4,16550.73,7708.71,30785.49,13.8,710175240,526899775,0.0028565214434263454,0.0006698261658777966,0,0,2356.41,1786.02,0.0,0.02,3.378999737112302,543055,1714,155648,1208320,86258080,2417956
26-5-2021 21:13:51,1622078031.0557504,1500.0,79.7,16560.16,7713.84,30790.65,13.8,711574177,527755410,0.0027956349879847435,0.001709900548019193,0,0,2362.28,1789.93,0.0,0.02,3.3670953885529773,544112,1718,155648,1208320,86341528,2422616
26-5-2021 21:13:56,1622078036.0600412,1500.0,85.3,16569.69,7719.04,30795.89,13.8,712885436,528095532,0.002620269379584104,0.0006796607397340301,0,0,2369.27,1794.53,0.0,0.02,3.3604983953930168,545169,1722,155648,1208320,86424946,2427276
26-5-2021 21:14:1,1622078041.0618484,1500.0,89.8,16582.02,7724.28,30798.23,13.9,713887379,528397226,0.002003161971996892,0.0006031699886916026,0,0,2375.66,1797.37,0.0,0.02,3.398344303521207,546224,1725,155648,1208320,86507239,2430771
26-5-2021 21:14:6,1622078046.0634718,1500.0,94.5,16593.95,7729.21,30801.31,13.8,715335902,528759123,0.0028961056969751976,0.0007235590759816952,0,0,2383.83,1801.14,0.0,0.02,3.334060821300848,547288,1730,155648,1208320,86592155,2436596
26-5-2021 21:14:11,1622078051.0702798,1500.0,85.6,16606.54,7734.71,30802.92,13.8,716554964,529090012,0.0024348087437059155,0.0006608781426999666,0,0,2392.27,1805.55,0.0,0.02,3.3834142663697193,548350,1734,155648,1208320,86675926,2441256
26-5-2021 21:14:16,1622078056.071899,1500.0,90.1,16617.46,7740.62,30805.96,13.8,717944425,529451170,0.0027780224204627343,0.0007220821752675895,0,0,2398.01,1809.69,0.0,0.02,3.375329229639844,549414,1739,155648,1208320,86760845,2447081
26-5-2021 21:14:21,1622078061.0757093,1500.0,48.9,16626.0,7745.73,30811.96,13.8,718862412,530279845,0.0018345759042919924,0.0016560879266146109,0,0,2403.54,1813.91,0.0,0.02,3.342840278363351,550480,1742,155648,1208320,86843764,2450574
26-5-2021 21:14:26,1622078066.0797944,1500.0,49.1,16634.1,7750.96,30818.24,13.9,719694037,530901994,0.001661892212811741,0.0012432822225265136,0,0,2408.96,1818.01,0.0,0.02,3.3405586115561463,551546,1745,155648,1208320,86926673,2454069
26-5-2021 21:14:31,1622078071.099124,1500.0,63.4,16643.62,7755.99,30823.43,13.9,720966142,531503027,0.002534412191637762,0.0011974368175399193,0,0,2415.16,1822.29,0.0,0.02,3.377214084828404,552614,1749,155648,1208320,87010727,2458729
26-5-2021 21:14:36,1622078076.1022136,1500.0,92.9,16653.65,7761.4,30827.56,13.8,722438156,531865652,0.0029422099105991624,0.0007248021206530789,0,0,2421.06,1826.27,0.0,0.02,3.372650751213996,553685,1754,155648,1208320,87095992,2464554
26-5-2021 21:14:41,1622078081.1063025,1500.0,64.6,16664.2,7765.67,30832.48,13.8,723928914,532213530,0.00297907978086844,0.0006951874925433579,0,0,2428.07,1829.42,0.0,0.02,3.3434354957913164,554754,1758,155648,1208320,87180115,2469212
26-5-2021 21:14:46,1622078086.1079674,1500.0,65.8,16674.48,7771.11,30836.46,13.9,725413443,532574505,0.002968069705839354,0.0007217096884367774,0,0,2434.74,1833.95,0.0,0.02,3.350478902022251,555825,1763,155648,1208320,87265405,2475037
26-5-2021 21:14:51,1622078091.1116693,1500.0,60.9,16685.08,7775.88,30840.73,13.9,726781258,533357253,0.002733606078911435,0.001564337787680182,0,0,2441.93,1837.54,0.0,0.02,3.3627304607478905,556894,1767,155648,1208320,87349546,2479697
26-5-2021 21:14:56,1622078096.1132116,1500.0,66.2,16696.06,7781.39,30843.97,13.8,728030868,533767076,0.0024984493134399106,0.000819393245077972,0,0,2449.06,1842.02,0.0,0.02,3.3658553522447137,557963,1771,155648,1208320,87433671,2484357
26-5-2021 21:15:1,1622078101.1174893,1500.0,91.8,16707.67,7787.95,30845.67,13.8,729370576,534153443,0.0026771256086659105,0.0007720734593235405,0,0,2457.33,1847.37,0.0,0.02,3.3402610028421633,559036,1777,155648,1208320,87520106,2491347
26-5-2021 21:15:6,1622078106.131002,1500.0,94.0,16718.66,7792.91,30849.38,13.8,730867706,534514685,0.0029861897556594966,0.0007205367334259202,0,0,2464.17,1851.37,0.0,0.02,3.3744364034978944,560107,1782,155648,1208320,87605359,2497172
26-5-2021 21:15:11,1622078111.1367726,1500.0,59.4,16728.82,7797.74,30853.96,13.8,732415804,534862425,0.0030926266861728605,0.0006946782463705467,0,0,2470.98,1854.99,0.0,0.02,3.37403959187925,561176,1786,155648,1208320,87689502,2501830
26-5-2021 21:15:16,1622078116.1406374,1500.0,92.6,16739.49,7802.74,30858.09,13.8,733932997,535791255,0.003032042373649747,0.001856225225081512,0,0,2477.68,1858.79,0.0,0.02,3.380239773420566,562247,1791,155648,1208320,87774771,2507653
26-5-2021 21:15:21,1622078121.1431189,900.0,33.4,16746.87,7806.65,30866.16,13.9,734784482,536612014,0.00170212524866161,0.0016407037316761358,0,0,2482.56,1861.61,0.0,0.02,3.371013903287088,563318,1793,155648,1208320,87856869,2509983
