time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
26-5-2021 19:8:10,1622070490.5376148,1500.0,48.2,5100.45,2071.95,18067.25,10.9,154989952,146950624,0.0,0.0,0,0,3.0236549326164273,30.11,2.95,0.0,0.02,13101,265,0,503808,43065850,483082
26-5-2021 19:8:17,1622070497.7059767,1500.0,49.9,5114.29,2073.43,18080.22,10.9,156025256,147958634,0.0014442685987672106,0.0014061929541886596,0,0,3.0294583025390986,35.9,3.16,0.0,0.02,14130,274,0,503808,43148391,492460
26-5-2021 19:8:22,1622070502.7079365,1500.0,39.3,5121.41,2074.24,18091.72,10.9,156227244,148604849,0.0004038177195484787,0.0012919236174328186,0,0,3.048158050067706,40.48,3.29,0.0,0.02,15147,277,0,503808,43224658,495586
26-5-2021 19:8:27,1622070507.7108624,1500.0,94.3,5131.47,2078.61,18097.08,10.9,156378290,148845957,0.00030191532683129915,0.00048193398449241205,0,0,3.1342165698611653,46.53,7.43,0.0,0.02,16163,279,0,503808,43300108,497914
26-5-2021 19:8:32,1622070512.721891,1500.0,92.6,5143.06,2083.92,18099.92,10.9,156539431,149091216,0.0003215727052694488,0.0004894384428648186,0,0,3.1472121503717627,54.33,12.04,0.0,0.02,17182,283,0,503808,43377895,502570
26-5-2021 19:8:37,1622070517.7428231,1500.0,86.8,5155.33,2088.62,18102.91,11.0,157566147,149315206,0.002044871270113426,0.0004461123775150152,0,0,3.149394614274306,60.76,15.83,0.0,0.02,18201,287,0,503808,43455718,507226
26-5-2021 19:8:42,1622070522.7576387,1500.0,84.9,5166.89,2094.17,18105.74,11.0,157785872,149571729,0.00043815170663823096,0.0005115302775831558,0,0,3.123949069228747,68.12,20.25,0.0,0.02,19224,293,0,503808,43535859,514210
26-5-2021 19:8:47,1622070527.762867,1500.0,72.5,5178.67,2098.59,18109.35,10.9,157946609,149815665,0.00032113819984891476,0.00048736238649685435,0,0,3.1363990337637087,76.07,24.24,0.0,0.02,20245,298,0,503808,43614860,520026
26-5-2021 19:8:52,1622070532.7680118,1500.0,65.3,5190.85,2102.99,18112.5,10.9,158103437,150060806,0.0003133335901059677,0.0004897780346122313,0,0,3.1459721140635,84.42,28.14,0.0,0.02,21266,303,0,503808,43693851,525846
26-5-2021 19:8:57,1622070537.7717335,1500.0,82.2,5201.52,2107.41,18117.24,10.9,158257901,150293110,0.00030869822269934,0.0004642624296013795,0,0,3.145426498087864,91.65,31.88,0.0,0.02,22287,308,0,503808,43772842,531666
26-5-2021 19:9:2,1622070542.7754476,1500.0,55.7,5211.97,2112.74,18121.27,10.9,158415971,150533311,0.0003159053401666109,0.00048004541414158356,0,0,3.1007355895380617,98.49,36.39,0.0,0.02,23308,313,0,503808,43851817,537482
26-5-2021 19:9:7,1622070547.7795122,1500.0,87.1,5224.11,2117.91,18123.82,10.9,158574420,150784250,0.0003166405990613557,0.0005014703487422296,0,0,3.148997802655662,106.97,40.84,0.0,0.02,24331,319,0,503808,43931960,544464
26-5-2021 19:9:12,1622070552.7817073,1500.0,67.5,5233.18,2122.38,18130.06,10.9,158729438,151011723,0.0003098999464947044,0.00045474635544897945,0,0,3.1350597945507848,112.33,44.38,0.0,0.02,25350,323,0,503808,44009795,549118
26-5-2021 19:9:17,1622070557.790389,1500.0,91.8,5243.36,2127.57,18134.6,10.9,158881373,151246255,0.0003033432884166525,0.000468250950201957,0,0,3.138184686047608,119.15,48.92,0.0,0.02,26371,328,0,503808,44088802,554936
26-5-2021 19:9:22,1622070562.7932763,1500.0,81.0,5254.35,2132.98,18138.07,11.0,159128313,151555306,0.0004935949736818654,0.0006177452831106915,0,0,3.1435416428993044,125.81,53.53,0.0,0.02,27390,332,0,503808,44166583,559590
26-5-2021 19:9:27,1622070567.7971916,1500.0,67.3,5263.76,2137.13,18144.28,11.0,159274010,151748825,0.00029116599897598345,0.00038673516239753284,0,0,3.146071316968161,131.77,57.11,0.0,0.02,28407,335,0,503808,44243244,563082
26-5-2021 19:9:32,1622070572.801095,1500.0,89.0,5273.88,2140.94,18150.11,10.9,159424183,151966168,0.00030011170945228803,0.0004343469150079484,0,0,3.1441864617796007,138.28,60.48,0.0,0.02,29432,339,0,503808,44321381,567738
26-5-2021 19:9:37,1622070577.8017151,1500.0,83.0,5285.77,2146.12,18152.72,11.0,159581905,152206526,0.00031540488180076774,0.00048065638642591984,0,0,3.1536603391747313,146.44,64.97,0.0,0.02,30459,344,0,503808,44400720,573558
26-5-2021 19:9:42,1622070582.8056092,1500.0,56.8,5295.54,2150.8,18158.12,10.9,159733669,152428409,0.0003032917908544528,0.0004434206559537081,0,0,3.1514282738198576,153.13,69.28,0.0,0.02,31484,348,0,503808,44478898,578214
26-5-2021 19:9:47,1622070587.8093646,1500.0,54.6,5305.43,2155.01,18163.89,10.9,159885375,152653865,0.00030318428852612613,0.00045057358940283373,0,0,3.150833056391891,159.09,72.92,0.0,0.02,32511,353,0,503808,44558181,584032
26-5-2021 19:9:52,1622070592.821738,1500.0,64.0,5314.23,2159.17,18170.82,11.0,160041830,152881738,0.00031213755647155,0.00045462095430533705,0,0,3.1450792879215506,164.16,76.25,0.0,0.02,33536,357,0,503808,44636300,588688
26-5-2021 19:9:57,1622070597.828596,1500.0,89.4,5323.46,2164.07,18176.45,10.9,160194050,153109479,0.0003040229953450632,0.00045485810657522026,0,0,3.156041208886596,170.33,80.67,0.0,0.02,34561,361,0,503808,44714434,593344
26-5-2021 19:10:2,1622070602.831728,1500.0,74.8,5332.83,2168.81,18182.21,10.9,160348743,153337581,0.00030919233018258675,0.00045591842487577593,0,0,3.153065121746765,175.76,84.48,0.0,0.02,35588,366,0,503808,44793709,599164
26-5-2021 19:10:7,1622070607.8369877,1500.0,63.0,5342.81,2173.43,18187.5,10.9,160498686,153555537,0.00029957086629098673,0.0004354539240465931,0,0,3.1078285972213266,182.7,88.31,0.0,0.02,36613,370,0,503808,44871822,603818
26-5-2021 19:10:12,1622070612.8407612,1500.0,65.3,5354.07,2178.32,18191.12,10.9,160654365,153793417,0.00031112319838043367,0.0004754012193727964,0,0,3.1378870773336245,190.29,92.48,0.0,0.02,37634,375,0,503808,44950787,609638
26-5-2021 19:10:17,1622070617.843693,1500.0,44.3,5364.48,2183.12,18195.82,10.9,160813450,154035511,0.00031798354505283764,0.0004839042546815958,0,0,3.1541563536980366,196.87,96.37,0.0,0.02,38655,380,0,503808,45029748,615452
26-5-2021 19:10:22,1622070622.8490782,1500.0,62.6,5373.16,2188.49,18201.66,10.9,160953341,154225673,0.00027948099000543345,0.0003799148195481713,0,0,3.1522218970571463,202.02,101.03,0.0,0.02,39672,383,0,503808,45106409,618944
26-5-2021 19:10:27,1622070627.8517406,1500.0,92.8,5382.77,2193.52,18206.81,10.9,161094122,154417507,0.00028141215251602426,0.0003834638116348016,0,0,3.1406647586641334,208.38,105.39,0.0,0.02,40689,386,0,503808,45183044,622436
26-5-2021 19:10:32,1622070632.8653698,1500.0,89.7,5395.76,2198.72,18208.54,10.9,161257656,154680867,0.0003261788886637467,0.0005252881487549031,0,0,3.108324611744632,217.81,110.06,0.0,0.02,41712,392,0,503808,45263199,629420
26-5-2021 19:10:37,1622070637.869697,1500.0,91.9,5407.06,2203.79,18212.13,10.9,161408429,154912777,0.00030128524983575255,0.0004634189297116153,0,0,3.1543547595073584,225.22,114.45,0.0,0.02,42733,397,0,503808,45342196,635240
26-5-2021 19:10:42,1622070642.8716989,1500.0,21.6,5412.59,2205.53,18224.76,10.9,161532740,155059122,0.00024852250339991826,0.00029257286772740176,0,0,3.1537099406270612,226.84,115.3,0.0,0.02,43744,397,0,503808,45415373,635240
26-5-2021 19:10:47,1622070647.8757844,1500.0,38.3,5419.48,2208.42,18234.86,10.9,161672222,155231007,0.0002787362423434831,0.000343489332065855,0,0,3.1511306651058746,230.06,117.34,0.0,0.02,44759,399,0,503808,45490878,637568
26-5-2021 19:10:52,1622070652.8782506,1500.0,80.5,5425.37,2209.33,18247.94,10.9,161799389,155375627,0.00025420861405259324,0.00028909740549266737,0,0,3.1498906287976114,232.36,118.01,0.0,0.02,45766,400,0,503808,45564913,638732
26-5-2021 19:10:57,1622070657.881706,1500.0,73.2,5434.62,2213.97,18253.78,11.0,161953906,155605406,0.00030882058024456573,0.00045924062794395484,0,0,3.143095229828329,237.78,121.76,0.0,0.02,46781,405,0,503808,45643588,644552
26-5-2021 19:11:2,1622070662.8856373,1500.0,79.3,5443.87,2218.64,18259.8,11.0,162103176,155824303,0.00029830545531022026,0.0004374500519263166,0,0,3.1445832733982453,243.45,125.78,0.0,0.02,47794,409,0,503808,45721097,649208
26-5-2021 19:11:7,1622070667.889553,1500.0,62.6,5454.15,2223.34,18264.54,10.9,162256310,156054258,0.00030602833166316814,0.0004595500999621497,0,0,3.1528667159374426,250.41,130.11,0.0,0.02,48807,413,0,503808,45798632,653864
26-5-2021 19:11:12,1622070672.897091,1500.0,52.0,5463.65,2227.85,18270.25,10.9,162411488,156288094,0.0003098888214179064,0.0004669680137975586,0,0,3.1108542858134887,256.41,133.73,0.0,0.02,49828,418,0,503808,45877625,659684
26-5-2021 19:11:17,1622070677.900979,1500.0,91.6,5473.91,2232.22,18275.36,11.0,162563836,156516004,0.0003044592445640397,0.0004554658179207491,0,0,3.151924288343163,263.37,137.51,0.0,0.02,50847,422,0,503808,45955455,664341
26-5-2021 19:11:22,1622070682.903327,1500.0,91.6,5484.79,2237.62,18278.89,11.1,162821902,156845029,0.0005158897437307233,0.0006577411318461218,0,0,3.139523925260532,270.23,142.09,0.0,0.02,51863,427,0,503808,46034173,670162
26-5-2021 19:11:27,1622070687.9072385,1500.0,96.0,5494.55,2243.18,18283.4,11.0,162972892,157060641,0.00030174394600019077,0.0004308869175772775,0,0,3.1460217155158303,276.02,147.03,0.0,0.02,52871,431,0,503808,46111370,674822
26-5-2021 19:11:32,1622070692.9103582,1500.0,59.7,5503.93,2247.27,18289.93,10.9,163118271,157267263,0.00029057669716251507,0.0004129863207279813,0,0,3.1538091435317224,281.7,150.65,0.0,0.02,53883,434,0,503808,46187714,678317
26-5-2021 19:11:37,1622070697.911716,1500.0,64.0,5513.78,2251.91,18295.32,10.9,163265288,157476517,0.00029395417416849665,0.0004183943813399443,0,0,3.153164324651426,288.19,154.55,0.0,0.02,54897,438,0,503808,46265238,682977
26-5-2021 19:11:42,1622070702.915496,1500.0,63.4,5524.54,2256.51,18299.83,10.9,163420659,157709996,0.00031050724865973,0.0004666052346308197,0,0,3.0972138864225944,295.25,158.45,0.0,0.02,55918,443,0,503808,46344279,688802
26-5-2021 19:11:47,1622070707.9193172,1500.0,94.4,5536.31,2261.12,18303.18,10.9,163575912,157948405,0.0003102688841683118,0.00047645388112102857,0,0,3.1061917492944193,303.33,162.16,0.0,0.02,56939,448,0,503808,46423294,694625
26-5-2021 19:11:52,1622070712.9317303,1500.0,92.1,5548.09,2265.72,18306.78,11.0,163737502,158204046,0.0003223796586538242,0.0005100158321549741,0,0,3.148997802655662,311.35,166.38,0.0,0.02,57952,454,0,503808,46502836,701613
26-5-2021 19:11:57,1622070717.9326947,1500.0,72.1,5557.12,2269.85,18313.36,10.9,163890690,158428018,0.0003063169173998412,0.00044785761694047334,0,0,3.155693998720283,316.68,169.73,0.0,0.02,58961,458,0,503808,46580038,706273
26-5-2021 19:12:2,1622070722.941934,1500.0,70.1,5566.86,2274.32,18318.94,11.0,164041949,158644980,0.0003019600120074594,0.00043312363644584724,0,0,3.1545531653166807,322.88,173.33,0.0,0.02,59970,462,0,503808,46657250,710933
26-5-2021 19:12:7,1622070727.9492984,1500.0,92.2,5579.38,2279.53,18320.99,11.0,164203013,158904533,0.0003216542500536129,0.0005183425567734899,0,0,3.1539579478887143,331.97,178.14,0.0,0.02,60983,468,0,503808,46736792,717921
26-5-2021 19:12:12,1622070732.9517574,1500.0,61.2,5589.2,2283.89,18326.6,10.9,164358582,159132887,0.0003109850544885638,0.000456483496922147,0,0,3.154949976935325,338.44,181.75,0.0,0.02,61992,472,0,503808,46814020,722581
26-5-2021 19:12:17,1622070737.9587762,1500.0,48.2,5597.64,2288.27,18333.65,10.9,164507009,159346828,0.00029643787210288826,0.00042728219795296014,0,0,3.1405159543071424,343.21,185.47,0.0,0.02,62996,476,0,503808,46890935,727241
26-5-2021 19:12:22,1622070742.9617238,1500.0,83.7,5607.04,2293.74,18338.54,11.0,164652940,159556994,0.0002916900446995439,0.00042008435448482055,0,0,3.1073821841503517,349.27,190.18,0.0,0.02,64000,480,0,503808,46967865,731901
26-5-2021 19:12:27,1622070747.9655182,1500.0,79.6,5617.26,2299.94,18341.96,11.0,164801054,159770751,0.00029600336708892727,0.00042718981148863596,0,0,3.152420302866468,355.36,195.66,0.0,0.02,65004,484,0,503808,47044767,736561
26-5-2021 19:12:32,1622070752.9767234,1500.0,85.7,5629.28,2305.49,18344.42,10.9,164948718,159990641,0.00029466763824928093,0.0004387966394966572,0,0,3.1503866433209162,364.23,200.49,0.0,0.02,66008,488,0,503808,47121649,741221
26-5-2021 19:12:37,1622070757.980548,1500.0,72.9,5637.99,2309.55,18351.45,10.9,165091113,160187533,0.00028457233219238766,0.0003934830270025183,0,0,3.1542555566026973,369.24,203.81,0.0,0.02,67010,491,0,503808,47197390,744716
26-5-2021 19:12:42,1622070762.9817457,1500.0,83.7,5650.46,2314.61,18353.71,11.0,165247755,160427557,0.0003132089667239751,0.00047993302581016205,0,0,3.1528667159374426,378.24,208.56,0.0,0.02,68018,497,0,503808,47276604,751704
26-5-2021 19:12:47,1622070767.985748,1500.0,73.3,5661.07,2319.72,18357.77,11.0,165405711,160668096,0.0003156593252728769,0.00048069322116166876,0,0,3.1523707014141373,385.35,212.61,0.0,0.02,69024,502,0,503808,47354665,757525
26-5-2021 19:12:52,1622070772.9894702,1500.0,91.2,5671.47,2324.14,18362.81,11.0,165562268,160899993,0.0003128810793814038,0.00046344899088069774,0,0,3.1406151572118035,391.9,216.22,0.0,0.02,70028,506,0,503808,47431555,762185
26-5-2021 19:12:57,1622070777.9932709,1500.0,69.7,5682.24,2328.85,18367.13,11.0,165717181,161138390,0.0003095906720455609,0.000476431851708027,0,0,3.1675983472796085,399.07,220.21,0.0,0.02,71034,511,0,503808,47509596,768010
26-5-2021 19:13:2,1622070782.997815,1500.0,92.5,5692.56,2334.08,18371.39,11.0,165874744,161378274,0.0003148398722836564,0.00047933238084380616,0,0,3.148948201203331,405.98,224.79,0.0,0.02,72040,516,0,503808,47587713,773833
26-5-2021 19:13:7,1622070787.998493,1000.0,57.6,5704.17,2339.07,18374.7,10.9,166023864,161594339,0.00029819956041575327,0.0004320714057217659,0,0,3.1107550829088275,413.96,229.21,0.0,0.02,73044,520,0,503808,47664653,778491
26-5-2021 19:13:13,1622070793.0017068,1500.0,92.6,5716.48,2344.11,18377.11,11.0,166188178,161858581,0.0003284169013371456,0.0005281445211188945,0,0,3.1065885609130635,422.9,233.27,0.0,0.02,74052,526,0,503808,47743921,785479
26-5-2021 19:13:18,1622070798.0054824,1500.0,63.9,5727.46,2348.48,18381.69,11.0,166345542,162098060,0.00031449052212960984,0.00047859660245721283,0,0,3.152122694152485,429.88,236.8,0.0,0.02,75058,531,0,503808,47822020,791304
26-5-2021 19:13:23,1622070803.0122561,1500.0,61.1,5737.81,2353.38,18386.32,11.0,166614141,162416290,0.0005364712198797225,0.0006355989274059996,0,0,3.1054477275094614,435.96,240.88,0.0,0.02,76060,534,0,503808,47897775,794797
26-5-2021 19:13:28,1622070808.016185,1500.0,63.1,5745.8,2357.58,18394.06,11.0,166757891,162607275,0.00028727426564104563,0.0003816700912936007,0,0,3.1497418244406195,440.29,244.42,0.0,0.02,77062,537,0,503808,47973562,798292
26-5-2021 19:13:33,1622070813.0254953,1500.0,75.9,5758.17,2362.36,18396.8,10.9,166907050,162828044,0.00029776354964953356,0.00044071736263033323,0,0,3.151725882533841,449.06,248.59,0.0,0.02,78066,541,0,503808,48050524,802952
26-5-2021 19:13:38,1622070818.0293236,1500.0,94.5,5770.88,2367.43,18398.87,10.9,167067812,163085470,0.0003212780111053315,0.0005144581013348992,0,0,3.1133839598823454,457.87,252.97,0.0,0.02,79079,547,0,503808,48130098,809942
26-5-2021 19:13:43,1622070823.0368705,1500.0,92.8,5783.17,2372.89,18401.05,11.1,167230991,163347949,0.0003258661440485138,0.0005241668328872579,0,0,3.1494442157266365,466.19,257.53,0.0,0.02,80092,553,0,503808,48209664,816932
26-5-2021 19:13:48,1622070828.0407553,1500.0,61.0,5793.26,2377.47,18406.28,11.0,167386805,163586957,0.00031138606595998994,0.00047764488975936227,0,0,3.1553963900062993,472.55,261.44,0.0,0.02,81103,558,0,503808,48288067,822755
26-5-2021 19:13:53,1622070833.0417452,1500.0,56.3,5804.04,2381.6,18411.23,11.0,167538684,163812678,0.0003036978730483581,0.00045135263994593356,0,0,3.1451784908262113,480.24,265.07,0.0,0.02,82114,563,0,503808,48366502,828580
26-5-2021 19:13:58,1622070838.0454838,1500.0,75.1,5813.52,2385.88,18417.12,11.0,167693771,164044089,0.0003099422473954483,0.0004624761934399923,0,0,3.150089034606933,485.64,268.44,0.0,0.02,83123,567,0,503808,48443738,833240
26-5-2021 19:14:3,1622070843.0493863,1500.0,85.5,5822.98,2389.98,18423.31,10.9,167844959,164263045,0.0003021401834963099,0.0004375704819007992,0,0,3.1487993968463397,491.86,272.18,0.0,0.02,84132,571,0,503808,48520980,837898
26-5-2021 19:14:8,1622070848.0517483,1500.0,69.7,5834.42,2395.03,18426.56,11.0,168002254,164502126,0.000314441457046749,0.0004779362216993153,0,0,3.1629854122128696,499.52,276.24,0.0,0.02,85143,576,0,503808,48599359,843723
26-5-2021 19:14:13,1622070853.055567,1500.0,64.5,5844.86,2399.14,18432.06,11.0,168158051,164742118,0.0003113562016772144,0.0004796176919511804,0,0,3.16968160827749,506.53,279.73,0.0,0.02,86154,581,0,503808,48677775,849548
26-5-2021 19:14:18,1622070858.0592403,1500.0,47.7,5854.79,2403.47,18437.47,10.9,168307939,164963526,0.0002995559273408632,0.000442490918290229,0,0,3.1348613887414625,512.4,283.41,0.0,0.02,87163,585,0,503808,48754999,854208
26-5-2021 19:14:23,1622070863.0676353,1500.0,59.2,5864.38,2408.84,18442.38,10.9,168458654,165181338,0.00030092474995752555,0.00043489381705701856,0,0,3.1554955929109605,518.59,288.06,0.0,0.02,88172,589,0,503808,48832207,858868
26-5-2021 19:14:28,1622070868.0713542,1500.0,76.6,5873.73,2413.86,18447.78,11.0,168605326,165390524,0.00029312598151304053,0.00041806105847596605,0,0,3.153114723199095,524.07,292.17,0.0,0.02,89181,593,0,503808,48909445,863528
26-5-2021 19:14:33,1622070873.071723,1500.0,64.7,5883.06,2417.85,18454.22,11.0,168756661,165609716,0.000302647674677242,0.0004383516642406187,0,0,3.1541563536980366,529.86,295.49,0.0,0.02,90190,597,0,503808,48986659,868188
