time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
2-6-2021 18:38:11,1622673491.6333265,1500.0,58.8,2661.43,1217.43,11047.27,10.8,75282656,107676077,0.0,0.0,64.27,0,0,3.130050047865401,47.8,5.13,0.0,0.02,13141,305,958464,569344,43100228,545828
2-6-2021 18:38:17,1622673497.892028,1500.0,93.7,2675.6,1222.63,11052.5,10.7,75580955,107970174,0.0004766148329697077,0.00046990098033145304,66.218,0,0,3.1290580188187906,57.47,9.76,0.0,0.02,14168,311,958464,569344,43180172,552810
2-6-2021 18:38:22,1622673502.8939483,1500.0,85.9,2688.49,1227.2,11054.77,10.9,76218943,108294414,0.0012754861563690474,0.0006482310503349592,67.679,0,0,3.07692689241941,65.49,13.48,0.0,0.02,15193,316,958464,569344,43258954,558628
2-6-2021 18:38:27,1622673507.8977635,1500.0,58.2,2699.01,1231.64,11059.64,10.8,76426246,108523951,0.0004142898823939291,0.0004587239776320425,68.166,0,0,3.1220146125878565,72.43,17.61,0.0,0.02,16218,321,958464,569344,43337746,564448
2-6-2021 18:38:32,1622673512.9014251,1500.0,76.2,2709.15,1236.28,11064.7,10.8,76581073,108753268,0.00030942739811419306,0.00045829837595091563,67.679,0,0,3.1335221495285377,78.61,21.1,0.0,0.02,17241,325,958464,569344,43415342,569104
2-6-2021 18:38:37,1622673517.9038606,1500.0,61.2,2721.22,1240.95,11067.79,10.8,76740767,109018718,0.0003192325053080691,0.0005306415302642989,68.653,0,0,3.132678924838919,87.31,25.24,0.0,0.02,18268,331,958464,569344,43495313,576093
2-6-2021 18:38:42,1622673522.9066415,1500.0,57.4,2730.79,1244.9,11074.08,10.8,76896787,109242475,0.0003118665451725534,0.0004472652387397451,67.192,0,0,3.1287604101048077,93.29,28.33,0.0,0.02,19291,335,958464,569344,43572927,580753
2-6-2021 18:38:47,1622673527.9104328,1500.0,81.9,2741.79,1250.12,11077.91,10.8,77048810,109472991,0.0003038156268035207,0.0004606826797802989,68.653,0,0,3.1353574032647678,100.13,32.97,0.0,0.02,20314,339,958464,569344,43650543,585413
2-6-2021 18:38:52,1622673532.9149523,1500.0,59.6,2752.04,1255.02,11082.53,10.8,77203379,109698804,0.0003088588248194086,0.0004512181472930866,68.653,0,0,3.1300996493177324,106.66,36.94,0.0,0.02,21334,344,958464,569344,43728996,591238
2-6-2021 18:38:57,1622673537.9188542,1500.0,77.4,2762.23,1260.2,11086.85,10.8,77353594,109915349,0.0003001957297461974,0.000432752283712614,68.653,0,0,3.132678924838919,113.49,41.45,0.0,0.02,22352,348,958464,569344,43806310,595898
2-6-2021 18:39:2,1622673542.9227777,1500.0,94.8,2774.72,1265.69,11088.81,10.8,77517805,110178408,0.00032816449482503694,0.00052570548772116,69.627,0,0,3.131339685625995,122.14,46.43,0.0,0.02,23369,354,958464,569344,43885638,602888
2-6-2021 18:39:7,1622673547.923845,1500.0,62.3,2784.82,1270.49,11093.69,10.9,77669658,110410775,0.00030364117868247214,0.000464634809762797,69.627,0,0,3.137192657000997,128.89,50.77,0.0,0.02,24384,359,958464,569344,43963791,608713
2-6-2021 18:39:12,1622673552.9276018,1500.0,78.9,2794.94,1274.64,11099.3,10.8,77856697,110647462,0.00037379714665032533,0.00047301859638484783,69.627,0,0,3.1195345399713306,135.68,54.01,0.0,0.02,25397,363,958464,569344,44040797,613373
2-6-2021 18:39:17,1622673557.939482,1500.0,69.8,2806.77,1278.86,11103.1,10.7,78008306,110877289,0.00030249925213457994,0.0004585644362823718,70.114,0,0,3.1331253379098944,143.65,57.9,0.0,0.02,26412,368,958464,569344,44118958,619196
2-6-2021 18:39:22,1622673562.9455066,1500.0,58.5,2816.33,1283.41,11108.74,10.7,78165449,111109309,0.000313907766312268,0.000463481541906241,69.627,0,0,3.156041208886596,149.87,61.41,0.0,0.02,27425,372,958464,569344,44195968,623856
2-6-2021 18:39:27,1622673567.9484396,1500.0,71.4,2826.85,1287.73,11113.68,10.8,78323114,111349501,0.0003151451342658168,0.00048010236951495297,70.601,0,0,3.1377382729766325,156.52,65.02,0.0,0.02,28440,377,958464,569344,44274151,629681
2-6-2021 18:39:32,1622673572.9591608,1500.0,62.8,2836.27,1291.67,11120.15,10.7,78476539,111577261,0.00030619344735428677,0.000454545345083346,71.088,0,0,3.134266171313496,162.7,68.52,0.0,0.02,29453,381,958464,569344,44351129,634339
