time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
12-6-2021 18:14:6,1623536046.335544,1500.0,60.5,142.44,51.69,912.61,10.5,5211962,5041964,0.0,0.0,66.705,0,0,24.83,3.1,0.02,0.08,12937,233,172965888,438272,40777463,426590,2.9942908728367565
12-6-2021 18:14:14,1623536054.0371933,1500.0,45.5,156.16,53.18,927.64,10.4,6050934,6324489,0.0010893407105568766,0.0016652602170357988,66.705,0,0,31.07,3.34,0.02,0.08,14019,242,173096960,438272,40861708,435968,3.0019294964956575
12-6-2021 18:14:19,1623536059.047161,1500.0,43.9,165.84,54.33,936.98,10.4,6511235,7091783,0.0009187703754036486,0.0015315347922880184,68.166,0,0,36.24,3.54,0.02,0.08,15089,245,173359104,438272,40939722,439094,2.998953409355826
12-6-2021 18:14:24,1623536064.0553584,1500.0,47.9,174.48,55.23,946.75,10.4,6732528,7845042,0.00044186158493551,0.0015040521643564747,68.166,0,0,41.2,3.81,0.02,0.08,16165,251,173359104,438272,41020880,445346,2.999598228236123
12-6-2021 18:14:29,1623536069.058243,1500.0,78.7,184.28,59.27,952.66,10.4,6891386,8130739,0.0003175328072969682,0.0005710645384325745,68.653,0,0,46.09,7.18,0.02,0.08,17192,253,175108096,438272,41095895,447674,3.097908306755222
12-6-2021 18:14:34,1623536074.058936,1500.0,82.8,193.16,63.17,959.78,10.4,7034302,8320665,0.0002857923844422544,0.0003797993535194072,68.653,0,0,50.88,10.44,0.02,0.08,18208,256,175108096,438272,41171438,451166,3.103810879582554
12-6-2021 18:14:39,1623536079.0628388,1500.0,50.6,204.6,66.65,964.58,10.4,7191322,8547481,0.0003137950720436915,0.00045327820061560263,69.14,0,0,58.33,13.42,0.02,0.08,19231,260,175108096,438272,41248445,455822,3.0641297177181346
12-6-2021 18:14:44,1623536084.0785258,1500.0,95.8,216.07,71.58,968.08,10.4,7348428,8778973,0.00031322927517179474,0.0004615359780534741,71.088,0,0,65.89,17.63,0.02,0.08,20250,265,175108096,438272,41326265,461642,3.121766605326204
12-6-2021 18:14:49,1623536089.0830688,1500.0,77.1,227.68,76.0,971.96,10.4,7503235,9012257,0.00030933293600961384,0.0004661444549927765,70.114,0,0,73.07,21.35,0.02,0.08,21269,270,175108096,438272,41404132,467460,3.101578814227681
12-6-2021 18:14:54,1623536094.0834072,1500.0,95.0,239.22,79.95,976.38,10.4,7653820,9226768,0.0003011496232549954,0.0004289929729657822,71.088,0,0,81.12,24.7,0.02,0.08,22292,274,175108096,438272,41481149,472116,3.0964698646376365
12-6-2021 18:14:59,1623536099.0871549,1500.0,85.6,252.36,84.17,978.85,10.4,7811077,9462643,0.00031427843563796074,0.00047139666918549885,71.575,0,0,89.79,28.2,0.02,0.08,23317,279,175108096,438272,41559330,477936,3.1257843229649764
12-6-2021 18:15:4,1623536104.090953,1500.0,67.1,264.58,88.23,982.38,10.5,7967956,9697245,0.00031351983488418864,0.0004688478400773872,70.114,0,0,97.92,31.68,0.02,0.08,24342,284,175108096,438272,41637493,483756,3.0954282341386956
12-6-2021 18:15:9,1623536109.0934103,1500.0,92.7,277.66,92.81,984.51,10.4,8131906,9956419,0.00032773893978531706,0.0005180933942050611,72.062,0,0,106.94,35.58,0.02,0.08,25369,290,175108096,438272,41716854,490738,3.1196337428759913
12-6-2021 18:15:14,1623536114.0972452,1500.0,67.4,288.69,96.72,989.44,10.4,8283766,10174856,0.0003034872275516906,0.00043653917769464405,72.549,0,0,114.03,39.04,0.02,0.08,26392,294,175108096,438272,41793873,495394,3.104654104272173
12-6-2021 18:15:19,1623536119.100959,1500.0,77.2,299.02,101.36,994.22,10.4,8438439,10404026,0.0003091163978476871,0.0004579998118272384,71.575,0,0,120.18,42.64,0.02,0.08,27417,299,175108096,438272,41872075,501210,3.1014300098706893
12-6-2021 18:15:24,1623536124.1035106,1500.0,60.9,310.21,104.9,999.08,10.4,8591484,10621535,0.000305933878537745,0.0004347961187027761,72.549,0,0,127.73,45.65,0.02,0.08,28440,303,175108096,438272,41949085,505866,3.058475152152455
12-6-2021 18:15:29,1623536129.1134202,1500.0,95.0,321.42,110.05,1002.61,10.5,8748354,10856220,0.00031311942049058576,0.00046844158346295096,72.549,0,0,134.9,50.1,0.02,0.08,29465,308,175108096,438272,42027259,511686,3.107481387055013
12-6-2021 18:15:34,1623536134.1172545,1500.0,86.1,330.83,113.87,1009.1,10.5,8973983,11124817,0.0004509122181829063,0.0005367823686993874,72.062,0,0,140.47,53.2,0.02,0.08,30486,311,175108096,438272,42103123,515178,3.107927800125988
12-6-2021 18:15:39,1623536139.130072,1500.0,79.0,341.03,117.96,1014.8,10.5,9131618,11345612,0.00031446386425941226,0.00044046086788566583,73.036,0,0,146.33,56.53,0.02,0.08,31509,315,175108096,438272,42180152,519834,3.1043068941058594
12-6-2021 18:15:44,1623536144.1333873,1500.0,70.6,351.26,123.61,1018.68,10.5,9281865,11558850,0.0003002948918537509,0.0004261934158359909,73.523,0,0,153.03,61.55,0.02,0.08,32532,319,175108096,438272,42257172,524490,3.1028684519882743
12-6-2021 18:15:49,1623536149.1371071,1500.0,76.6,362.72,127.76,1022.9,10.4,9431476,11770873,0.0002989995558914652,0.0004237307606979175,71.575,0,0,159.81,64.96,0.02,0.08,33555,323,175108096,438272,42334198,529144,3.101926024393994
12-6-2021 18:15:54,1623536154.1410363,1500.0,93.7,374.5,131.59,1027.12,10.5,9585919,11998381,0.0003086434594396798,0.00045465871661520867,74.497,0,0,167.7,68.37,0.02,0.08,34578,327,175108096,438272,42411238,533800,3.103959683939546
12-6-2021 18:15:59,1623536159.1433957,1500.0,65.3,385.06,136.07,1031.91,10.5,9738164,12219300,0.00030434638562049386,0.0004416296046825438,74.01,0,0,174.34,72.03,0.02,0.08,35603,332,175108096,438272,42489425,539616,3.1021740316556468
12-6-2021 18:16:4,1623536164.1458256,1500.0,93.7,397.52,140.13,1035.12,10.4,9898933,12459474,0.00032138181087224915,0.0004801146679050785,74.01,0,0,183.26,75.34,0.02,0.08,36628,337,175108096,438272,42567614,545436,3.0958250457573397
12-6-2021 18:16:9,1623536169.1498818,1500.0,92.2,410.38,144.64,1037.66,10.4,10050915,12689678,0.0003037176111965519,0.00046003479996243663,74.497,0,0,192.05,79.14,0.02,0.08,37653,342,175108096,438272,42645809,551256,3.1055469304141226
12-6-2021 18:16:14,1623536174.1533885,1500.0,76.8,419.98,148.75,1043.71,10.4,10205805,12907938,0.000309562893608132,0.00043621406907425194,73.523,0,0,197.67,82.46,0.02,0.08,38676,346,175108096,438272,42722867,555912,3.103513270868571
12-6-2021 18:16:19,1623536179.1572983,1500.0,63.4,430.27,153.15,1048.84,10.4,10356563,13122553,0.00030128040918778084,0.00042889461930932743,73.523,0,0,204.41,86.53,0.02,0.08,39699,350,175108096,438272,42799925,560568,3.1065885609130635
12-6-2021 18:16:24,1623536184.1612337,1500.0,95.8,442.68,158.6,1050.88,10.4,10514509,13361146,0.0003156435672340029,0.00047681071782167605,74.01,0,0,212.96,91.26,0.02,0.08,40724,355,175108096,438272,42878163,566388,3.1011820026090366
12-6-2021 18:16:29,1623536189.1668496,1500.0,64.3,453.91,163.32,1054.67,10.4,10672193,13595732,0.00031501417924727584,0.0004686456219584831,74.497,0,0,219.9,94.98,0.02,0.08,41749,360,175108096,438272,42956417,572208,3.054755043227666
12-6-2021 18:16:34,1623536194.1694658,1500.0,83.0,464.26,168.59,1058.85,10.4,10818370,13804361,0.0002922011106154069,0.00041703979084658816,74.01,0,0,226.21,99.55,0.02,0.08,42772,364,175108096,438272,43033483,576864,3.1051997202478088
12-6-2021 18:16:39,1623536199.1733844,1500.0,82.8,473.52,172.59,1065.35,10.4,10969604,14018563,0.0003022311325295327,0.00042806851005786366,74.984,0,0,231.47,102.92,0.02,0.08,43795,368,175108096,438272,43110549,581520,3.1019756258463245
12-6-2021 18:16:44,1623536204.1742113,1500.0,79.8,484.23,177.33,1069.65,10.5,11122245,14233999,0.00030523152473984727,0.00043080075971628685,75.958,0,0,238.75,107.15,0.02,0.08,44818,372,175108096,438272,43187618,586176,3.0576815289151664
